"","tp","AOO","occupancy_area","occupancy_Ncells","relative_occupancy_area","relative_occupancy_Ncells","occupancy_area_scaled","occupancy_Ncells_scaled","relative_occupancy_area_scaled","relative_occupancy_Ncells_scaled","AOO_scaled"
"201",1,0.123,0.123,-1.646,0.099,0.077,0.062,0.061,0.051,0.067,0.062
"202",1,0.344,0.344,-1.384,0.334,0.286,0.18,0.21,0.176,0.182,0.18
"203",1,0.356,0.356,-1.391,0.356,0.33,0.187,0.206,0.187,0.206,0.187
"204",1,0.038,0.038,-1.733,0.014,-0.01,0.016,0.011,0.007,0.019,0.016
"205",1,0.027,0.027,-1.719,0.006,-0.019,0.01,0.019,0.002,0.014,0.01
"206",1,1.578,1.578,-0.275,1.569,1.383,0.841,0.843,0.827,0.786,0.841
"207",1,0.825,0.825,-0.906,0.822,0.759,0.438,0.483,0.433,0.442,0.438
"208",1,0.028,0.028,-1.74,0.022,-0.017,0.011,0.007,0.011,0.015,0.011
"209",1,1.836,1.836,0,1.759,1.773,0.979,1,0.927,1,0.979
"210",1,0.048,0.048,-1.67,0.028,-0.019,0.021,0.047,0.014,0.014,0.021
"211",1,0.083,0.083,-1.701,0.071,0.051,0.04,0.029,0.037,0.053,0.04
"212",1,1.092,1.092,-0.592,1.098,1.075,0.581,0.662,0.578,0.616,0.581
"213",1,0.026,0.026,-1.719,0.005,-0.019,0.01,0.019,0.002,0.014,0.01
"214",1,0.024,0.024,-1.72,0.001,-0.023,0.009,0.019,0,0.012,0.009
"215",1,0.05,0.05,-1.656,0.032,-0.015,0.023,0.055,0.016,0.016,0.023
"216",1,0.032,0.032,-1.713,0.011,-0.013,0.013,0.022,0.005,0.017,0.013
"217",1,0.033,0.033,-1.682,0.013,-0.031,0.014,0.04,0.006,0.007,0.014
"218",1,0.472,0.472,-1.271,0.465,0.4,0.249,0.275,0.245,0.245,0.249
"219",1,1.419,1.419,-0.404,1.419,1.251,0.756,0.769,0.748,0.713,0.756
"220",1,0.189,0.189,-1.55,0.174,0.119,0.097,0.116,0.091,0.09,0.097
"221",1,1.517,1.517,-0.242,1.514,1.399,0.809,0.862,0.798,0.794,0.809
"222",1,1.216,1.216,-0.545,1.215,1.111,0.647,0.689,0.64,0.636,0.647
"223",1,0.831,0.831,-0.977,0.832,0.742,0.441,0.443,0.439,0.433,0.441
"224",1,0.946,0.946,-0.78,0.94,0.892,0.503,0.555,0.495,0.515,0.503
"225",1,0.836,0.836,-0.864,0.837,0.779,0.444,0.507,0.441,0.453,0.444
"226",1,0.713,0.713,-1.019,0.711,0.646,0.378,0.419,0.374,0.38,0.378
