"","x"
"716","Spinus spinus"
"717","Spinus tristis"
"718","Spiza americana"
"719","Spizella pallida"
"720","Spizella passerina"
"721","Spizella pusilla"
"722","Spodiopsar cineraceus"
"723","Stelgidopteryx serripennis"
"724","Stercorarius longicaudus"
"725","Stercorarius parasiticus"
"726","Stercorarius pomarinus"
"727","Sterna albifrons"
"728","Sterna dougallii"
"729","Sterna forsteri"
"730","Sterna hirundo"
"731","Sterna paradisaea"
"732","Sterna sumatrana"
"733","Sternula albifrons"
"734","Sternula antillarum"
"735","Streptopelia decaocto"
"736","Streptopelia orientalis"
"737","Streptopelia turtur"
"738","Strix aluco"
"739","Strix nebulosa"
"740","Strix uralensis"
"741","Strix varia"
"742","Sturnella magna"
"743","Sturnella neglecta"
"744","Sturnus unicolor"
"745","Sturnus vulgaris"
"746","Sula leucogaster"
"747","Surnia ulula"
"748","Sylvia atricapilla"
"749","Sylvia balearica"
"750","Sylvia borin"
"751","Sylvia cantillans"
"752","Sylvia communis"
"753","Sylvia conspicillata"
"754","Sylvia crassirostris"
"755","Sylvia curruca"
"756","Sylvia hortensis"
"757","Sylvia melanocephala"
"758","Sylvia mystacea"
"759","Sylvia nisoria"
"760","Sylvia ruppeli"
"761","Sylvia sarda"
"762","Sylvia subalpina"
"763","Sylvia undata"
"764","Syrmaticus reevesii"
"765","Syrmaticus soemmerringii"
"766","Tachybaptus ruficollis"
"767","Tachycineta bicolor"
"768","Tachymarptis melba"
"769","Tadorna ferruginea"
"770","Tadorna tadorna"
"771","Tarsiger cyanurus"
"772","Terpsiphone atrocaudata"
"773","Tetrao tetrix"
"774","Tetrao urogallus"
"775","Tetraogallus caspius"
"776","Tetraogallus caucasicus"
"777","Tetrastes bonasia"
"778","Tetrax tetrax"
"779","Thalasseus sandvicensis"
"780","Thryothorus ludovicianus"
"781","Tichodroma muraria"
"782","Toxostoma rufum"
"783","Treron formosae"
"784","Treron sieboldii"
"785","Tringa erythropus"
"786","Tringa glareola"
"787","Tringa nebularia"
"788","Tringa ochropus"
"789","Tringa semipalmata"
"790","Tringa stagnatilis"
"791","Tringa totanus"
"792","Troglodytes aedon"
"793","Troglodytes troglodytes"
"794","Turdus atrogularis"
"795","Turdus cardis"
"796","Turdus celaenops"
"797","Turdus chrysolaus"
"798","Turdus iliacus"
"799","Turdus merula"
"800","Turdus migratorius"
"801","Turdus pallidus"
"802","Turdus philomelos"
"803","Turdus pilaris"
"804","Turdus torquatus"
"805","Turdus viscivorus"
"806","Turnix suscitator"
"807","Tyrannus tyrannus"
"808","Tyto alba"
"809","Upupa epops"
"810","Uragus sibiricus"
"811","Uria aalge"
"812","Uria lomvia"
"813","Urosphena squameiceps"
"814","Vanellus cinereus"
"815","Vanellus gregarius"
"816","Vanellus leucurus"
"817","Vanellus spinosus"
"818","Vanellus vanellus"
"819","Vermivora chrysoptera"
"820","Vermivora peregrina"
"821","Vermivora pinus"
"822","Vermivora ruficapilla"
"823","Vireo flavifrons"
"824","Vireo gilvus"
"825","Vireo griseus"
"826","Vireo olivaceus"
"827","Vireo philadelphicus"
"828","Vireo solitarius"
"829","Wilsonia canadensis"
"830","Wilsonia citrina"
"831","Wilsonia pusilla"
"832","Xema sabini"
"833","Xenus cinereus"
"834","Zapornia parva"
"835","Zapornia pusilla"
"836","Zenaida macroura"
"837","Zonotrichia albicollis"
"838","Zoothera aurea"
"839","Zoothera dauma"
"840","Zoothera sibirica"
"841","Zosterops japonicus"
