"","sp_atlas_adapted","verbatim_name","sp_names_atlas_adapted_keep","sp_BirdTree","sp_BirdLife","sp_eBird","sp_group_eBird"
"324","Delichon urbicum","Delichon urbicum","Delichon urbicum","Delichon urbicum","Delichon urbicum","Delichon urbicum","Delichon urbicum urbicum/meridionale"
"325","Dendrocopos kizuki","Dendrocopos kizuki","Dendrocopos kizuki",NA,"Picoides kizuki","Yungipicus kizuki","Yungipicus kizuki"
"326","Dendrocopos leucotos","Dendrocopos leucotos","Dendrocopos leucotos","Dendrocopos leucotos","Dendrocopos leucotos","Dendrocopos leucotos","Dendrocopos leucotos"
"327","Dendrocopos leucotos","Dendrocopos leucotos","Dendrocopos leucotos","Dendrocopos leucotos","Dendrocopos owstoni","Dendrocopos leucotos","Dendrocopos leucotos"
"328","Dendrocopos major","Dendrocopos major","Dendrocopos major","Dendrocopos major","Dendrocopos major","Dendrocopos major","Dendrocopos major"
"329","Dendrocopos medius","Dendrocopos medius","Dendrocopos medius",NA,"Leiopicus medius","Dendrocoptes medius","Dendrocoptes medius"
"330","Dendrocopos minor","Dendrocopos minor","Dendrocopos minor",NA,"Dryobates minor","Dryobates minor","Dryobates minor"
"331","Dendrocopos noguchii","Sapheopipo noguchii","Dendrocopos noguchii","Dendrocopos noguchii","Dendrocopos noguchii","Dendrocopos noguchii","Dendrocopos noguchii"
"332","Dendrocopos syriacus","Dendrocopos syriacus","Dendrocopos syriacus","Dendrocopos syriacus","Dendrocopos syriacus","Dendrocopos syriacus","Dendrocopos syriacus"
"333","Dendroica caerulescens","Dendroica caerulescens","Dendroica caerulescens",NA,"Setophaga caerulescens","Setophaga caerulescens","Setophaga caerulescens"
"334","Dendroica castanea","Dendroica castanea","Dendroica castanea",NA,"Setophaga castanea","Setophaga castanea","Setophaga castanea"
"335","Dendroica cerulea","Dendroica cerulea","Dendroica cerulea",NA,"Setophaga cerulea","Setophaga cerulea","Setophaga cerulea"
"336","Dendroica coronata","Dendroica coronata","Dendroica coronata",NA,"Setophaga coronata","Setophaga coronata","Setophaga coronata coronata"
"337","Dendroica coronata","Dendroica coronata","Dendroica coronata",NA,"Setophaga auduboni","Setophaga coronata","Setophaga coronata auduboni"
"338","Dendroica coronata","Dendroica coronata","Dendroica coronata",NA,NA,"Setophaga coronata","Setophaga coronata"
"339","Dendroica discolor","Dendroica discolor","Dendroica discolor",NA,"Setophaga discolor","Setophaga discolor","Setophaga discolor"
"340","Dendroica dominica","Dendroica dominica","Dendroica dominica",NA,"Setophaga dominica","Setophaga dominica","Setophaga dominica"
"341","Dendroica dominica","Dendroica dominica","Dendroica dominica",NA,"Setophaga flavescens","Setophaga flavescens","Setophaga flavescens"
"342","Dendroica fusca","Dendroica fusca","Dendroica fusca",NA,"Setophaga fusca","Setophaga fusca","Setophaga fusca"
"343","Dendroica magnolia","Dendroica magnolia","Dendroica magnolia",NA,"Setophaga magnolia","Setophaga magnolia","Setophaga magnolia"
"344","Dendroica palmarum","Dendroica palmarum","Dendroica palmarum",NA,"Setophaga palmarum","Setophaga palmarum","Setophaga palmarum"
"345","Dendroica pensylvanica","Dendroica pensylvanica","Dendroica pensylvanica",NA,"Setophaga pensylvanica","Setophaga pensylvanica","Setophaga pensylvanica"
"346","Dendroica petechia","Dendroica petechia","Dendroica petechia",NA,"Setophaga petechia","Setophaga petechia","Setophaga petechia"
"347","Dendroica pinus","Dendroica pinus","Dendroica pinus",NA,"Setophaga pinus","Setophaga pinus","Setophaga pinus"
"348","Dendroica striata","Dendroica striata","Dendroica striata",NA,"Setophaga striata","Setophaga striata","Setophaga striata"
"349","Dendroica tigrina","Dendroica tigrina","Dendroica tigrina",NA,"Setophaga tigrina","Setophaga tigrina","Setophaga tigrina"
"350","Dendroica virens","Dendroica virens","Dendroica virens",NA,"Setophaga virens","Setophaga virens","Setophaga virens"
"351","Dolichonyx oryzivorus","Dolichonyx oryzivorus","Dolichonyx oryzivorus","Dolichonyx oryzivorus","Dolichonyx oryzivorus","Dolichonyx oryzivorus","Dolichonyx oryzivorus"
"352","Dryobates minor","Dryobates minor","Dryobates minor","Dendrocopos minor",NA,"Dryobates minor","Dryobates minor"
"353","Dryocopus martius","Dryocopus martius","Dryocopus martius","Dryocopus martius","Dryocopus martius","Dryocopus martius","Dryocopus martius"
"354","Dryocopus pileatus","Dryocopus pileatus","Dryocopus pileatus",NA,"Hylatomus pileatus","Dryocopus pileatus","Dryocopus pileatus"
"355","Dumetella carolinensis","Dumetella carolinensis","Dumetella carolinensis","Dumetella carolinensis","Dumetella carolinensis","Dumetella carolinensis","Dumetella carolinensis"
"356","Egretta caerulea","Egretta caerulea","Egretta caerulea","Egretta caerulea","Egretta caerulea","Egretta caerulea","Egretta caerulea"
"357","Egretta garzetta","Egretta garzetta","Egretta garzetta","Egretta garzetta","Egretta garzetta","Egretta garzetta","Egretta garzetta"
"358","Egretta sacra","Egretta sacra","Egretta sacra","Egretta sacra","Egretta sacra","Egretta sacra","Egretta sacra"
"359","Egretta thula","Egretta thula","Egretta thula","Egretta thula","Egretta thula","Egretta thula","Egretta thula"
"360","Egretta tricolor","Egretta tricolor","Egretta tricolor","Egretta tricolor","Egretta tricolor","Egretta tricolor","Egretta tricolor"
