"","x"
"771","Eleothreptus candicans"
"772","Emberiza caesia"
"773","Emberiza calandra"
"774","Emberiza pallasi"
"775","Emberiza schoeniclus"
"776","Emberiza siemsseni"
"777","Empidonax difficilis"
"778","Eremomela turneri"
"779","Eremophila alpestris"
"780","Falco eleonorae"
"781","Falco peregrinus"
"782","Ficedula albicollis"
"783","Ficedula ruficauda"
"784","Formicivora acutirostris"
"785","Fringilla coelebs"
"786","Fulica atra"
"787","Galerida cristata"
"788","Gallinago gallinago"
"789","Gallinula chloropus"
"790","Gelochelidon nilotica"
"791","Geophaps plumifera"
"792","Glaucidium mooreorum"
"793","Grus americana"
"794","Gymnoris xanthocollis"
"795","Haematopus ostralegus"
"796","Haematopus finschi"
"797","Harpagus diodon"
"798","Hemimacronyx chloris"
"799","Hemitriccus cinnamomeipectus"
"800","Himantopus himantopus"
"801","Hirundapus caudacutus"
"802","Hirundo atrocaerulea"
"803","Hirundo rustica"
"804","Horornis canturians"
"805","Hydrobates hornbyi"
"806","Hydroprogne caspia"
"807","Hydrornis gurneyi"
"808","Hypocolius ampelinus"
"809","Hypotaenidia tertia"
"810","Icterus fuertesi"
"811","Icterus parisorum"
"812","Iduna opaca"
"813","Iduna pallida"
"814","Ixobrychus minutus"
"815","Lanius excubitor"
"816","Lanius nubicus"
"817","Larus armenicus"
"818","Larus canus"
"819","Larus fuscus"
"820","Larus genei"
"821","Larus glaucoides"
"822","Larus melanocephalus"
"823","Larus michahellis"
"824","Larus smithsonianus"
"825","Larvivora brunnea"
"826","Leiothlypis crissalis"
"827","Lullula arborea"
"828","Machaeropterus eckelberryi"
"829","Macropygia macassariensis"
"830","Macropygia magna"
"831","Macropygia timorlaoensis"
"832","Malaconotus monteiri"
"833","Malurus assimilis"
"834","Malurus lamberti"
"835","Margarornis bellulus"
"836","Megascops asio"
"837","Megascops cooperi"
"838","Megascops gilesi"
"839","Melamprosops phaeosoma"
"840","Melozone cabanisi"
"841","Mergus octosetaceus"
"842","Merops apiaster"
"843","Merops cyanophrys"
"844","Merops persicus"
"845","Microcarbo pygmaeus"
"846","Microptilotis gracilis"
"847","Microptilotis imitatrix"
"848","Monticola cinclorhyncha"
"849","Motacilla alba"
"850","Motacilla citreola"
"851","Motacilla flava"
"852","Motacilla tschutschensis"
"853","Muscicapa dauurica"
"854","Muscicapa sibirica"
"855","Muscicapa striata"
"856","Muscisaxicola capistratus"
"857","Myioborus pariae"
"858","Myiodynastes chrysocephalus"
"859","Myrmoderus eowilsoni"
"860","Myrmotherula snowi"
"861","Neochmia evangelinae"
"862","Neophedina cincta"
"863","Nothura maculosa"
"864","Nycticorax nycticorax"
"865","Odontophorus strophium"
"866","Oenanthe albonigra"
"867","Oenanthe chrysopygia"
"868","Oenanthe cypriaca"
"869","Oenanthe finschii"
"870","Oenanthe hispanica"
"871","Oenanthe monacha"
"872","Oenanthe picata"
"873","Oenanthe xanthoprymna"
"874","Oena capensis"
"875","Onychoprion anaethetus"
"876","Ortalis guttata"
"877","Ortalis squamata"
"878","Otus cyprius"
"879","Pandion haliaetus"
"880","Passerculus bairdii"
"881","Passerculus henslowii"
"882","Passer domesticus"
"883","Passer hispaniolensis"
"884","Passer moabiticus"
"885","Pelecanoides georgicus"
"886","Pelecanoides whenuahouensis"
"887","Penelope ortoni"
"888","Petrochelidon fulva"
"889","Phaethornis bourcieri"
"890","Phaethornis major"
"891","Phalacrocorax carbo"
"892","Phalacrocorax nigrogularis"
"893","Phalaropus lobatus"
"894","Philydor novaesi"
"895","Phoenicopterus roseus"
"896","Phoenicurus ochruros"
"897","Phoenicurus phoenicurus"
"898","Phylloscopus burkii"
"899","Phylloscopus collybita"
"900","Phylloscopus ibericus"
"901","Phylloscopus neglectus"
"902","Phylloscopus nitidus"
"903","Phylloscopus presbytes"
"904","Phylloscopus rotiensis"
"905","Phylloscopus sindianus"
"906","Piranga hepatica"
"907","Platalea leucorodia"
"908","Plegadis falcinellus"
"909","Pluvialis fulva"
"910","Pluvialis squatarola"
"911","Podiceps cristatus"
"912","Poecile montanus"
"913","Poecile weigoldicus"
"914","Pomarea whitneyi"
"915","Porphyrio porphyrio"
"916","Prinia gracilis"
"917","Psarocolius cassini"
"918","Psittacus timneh"
"919","Pterocles alchata"
"920","Ptilinopus richardsii"
"921","Puffinus huttoni"
"922","Puffinus persicus"
"923","Pycnonotus pseudosimplex"
"924","Pycnonotus simplex"
"925","Pycnonotus xanthopygos"
"926","Pyrrhura chapmani"
"927","Pyrrhura melanura"
"928","Rallus aquaticus"
"929","Rallus limicola"
"930","Remiz pendulinus"
"931","Riparia riparia"
"932","Rissa tridactyla"
"933","Saltator striatipectus"
"934","Sayornis saya"
"935","Scolopax rusticola"
"936","Scytalopus rodriguezi"
"937","Sialia currucoides"
"938","Spatula clypeata"
"939","Spizocorys fringillaris"
"940","Sporophila cinnamomea"
"941","Sporophila maximiliani"
"942","Sporophila melanogaster"
"943","Sporophila palustris"
"944","Stachyris nonggangensis"
"945","Sterna hirundo"
"946","Sterna repressa"
"947","Sterna striata"
"948","Sterna vittata"
"949","Sternula albifrons"
"950","Sternula lorata"
"951","Sternula saundersi"
"952","Streptopelia decaocto"
"953","Streptopelia turtur"
"954","Sturnella magna"
"955","Sturnus vulgaris"
"956","Curruca cantillans"
"957","Curruca communis"
"958","Curruca conspicillata"
"959","Curruca crassirostris"
"960","Curruca curruca"
"961","Curruca hortensis"
"962","Curruca ruppeli"
"963","Curruca subalpina"
"964","Synallaxis cinerea"
"965","Tachybaptus ruficollis"
"966","Tadorna tadorna"
