occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Egretta intermedia","Egretta intermedia (Wagler, 1829)","2480880","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta intermedia","Egretta intermedia","(Wagler, 1829) ","2480880",
,"Egretta sacra","Egretta sacra (Gmelin, 1789)","2480899","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta sacra","Egretta sacra","(Gmelin, 1789) ","2480899",
,"Egretta thula","Egretta thula (Molina, 1782)","2480873","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta thula","Egretta thula","(Molina, 1782) ","2480873",
,"Egretta tricolor","Egretta tricolor (Statius Muller, 1776)","2480881","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta tricolor","Egretta tricolor","(Statius Muller, 1776) ","2480881",
,"Elanus caeruleus","Elanus caeruleus (Desfontaines, 1789)","2480372","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Elanus","Elanus caeruleus","Elanus caeruleus","(Desfontaines, 1789) ","2480372",
,"Emberiza aureola","Emberiza aureola Pallas, 1773","2491518","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza aureola","Emberiza aureola","Pallas, 1773","2491518",
,"Emberiza caesia","Emberiza caesia Cretzschmar, 1827","2491490","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza caesia","Emberiza caesia","Cretzschmar, 1827","2491490",
,"Emberiza calandra","Emberiza calandra Linnaeus, 1758","7634625","EXACT","97","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza calandra","Emberiza calandra","Linnaeus, 1758","7634625",
,"Emberiza cia","Emberiza cia Linnaeus, 1767","2491498","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza cia","Emberiza cia","Linnaeus, 1767","2491498",
,"Emberiza cioides","Emberiza cioides J.F.Brandt, 1843","2491538","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza cioides","Emberiza cioides","J.F.Brandt, 1843","2491538",
,"Emberiza cirlus","Emberiza cirlus Linnaeus, 1767","7626513","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza cirlus","Emberiza cirlus","Linnaeus, 1767","7626513",
,"Emberiza citrinella","Emberiza citrinella Linnaeus, 1758","2491534","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza citrinella","Emberiza citrinella","Linnaeus, 1758","2491534",
,"Emberiza fucata","Emberiza fucata Pallas, 1776","2491548","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza fucata","Emberiza fucata","Pallas, 1776","2491548",
,"Emberiza hortulana","Emberiza hortulana Linnaeus, 1758","2491482","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza hortulana","Emberiza hortulana","Linnaeus, 1758","2491482",
,"Emberiza melanocephala","Emberiza melanocephala Scopoli, 1769","9613112","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza melanocephala","Emberiza melanocephala","Scopoli, 1769","9613112",
,"Emberiza pusilla","Emberiza pusilla Pallas, 1776","2491544","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza pusilla","Emberiza pusilla","Pallas, 1776","2491544",
,"Emberiza rustica","Emberiza rustica Pallas, 1776","2491582","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza rustica","Emberiza rustica","Pallas, 1776","2491582",
,"Emberiza schoeniclus","Emberiza schoeniclus (Linnaeus, 1758)","2491557","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza schoeniclus","Emberiza schoeniclus","(Linnaeus, 1758) ","2491557",
