original_verbatim_name,name_in_data,wordCount,cellID,submitted_name,Birds of the World,eBird/Clements,American Ornithological Society,GBIF,BirdLife
Clangula hyemalis,Clangula hyemalis,2,NA,Clangula hyemalis,Clangula hyemalis,Clangula hyemalis,Clangula hyemalis,Clangula hyemalis,Clangula hyemalis
Coccothraustes coccothraustes,Coccothraustes coccothraustes,2,NA,Coccothraustes coccothraustes,Coccothraustes coccothraustes,Coccothraustes coccothraustes,Coccothraustes coccothraustes,Coccothraustes coccothraustes,Coccothraustes coccothraustes
Colinus virginianus,Colinus virginianus,2,NA,Colinus virginianus,Colinus virginianus,Colinus virginianus,Colinus virginianus,Colinus virginianus,Colinus virginianus
Columba bollii,Columba bollii,2,NA,Columba bollii,Columba bollii,NA,Columba bollii,Columba bollii,Columba bollii
Columba junoniae,Columba junoniae,2,NA,Columba junoniae,Columba junoniae,NA,Columba junoniae,Columba junoniae,Columba junoniae
Columba livia,Columba livia,2,NA,Columba livia,Columba livia,Columba livia,Columba livia,Columba livia,Columba livia
Columba oenas,Columba oenas,2,NA,Columba oenas,Columba oenas,NA,Columba oenas,Columba oenas,Columba oenas
Columba palumbus,Columba palumbus,2,NA,Columba palumbus,Columba palumbus,NA,Columba palumbus,Columba palumbus,Columba palumbus
Columba trocaz,Columba trocaz,2,NA,Columba trocaz,Columba trocaz,NA,Columba trocaz,Columba trocaz,Columba trocaz
Coracias garrulus,Coracias garrulus,2,NA,Coracias garrulus,Coracias garrulus,NA,Coracias garrulus,Coracias garrulus,Coracias garrulus
Corvus corax,Corvus corax,2,NA,Corvus corax,Corvus corax,Corvus corax,Corvus corax,Corvus corax,Corvus corax
