"","sp_atlas","Accepted_SPNAME","sp_sci_name"
"341","Fringilla coelebs","Fringilla coelebs","Fringilla coelebs"
"342","Fringilla montifringilla","Fringilla montifringilla","Fringilla montifringilla"
"343","Fulica americana","Fulica americana","Fulica americana"
"344","Fulica atra","Fulica atra","Fulica atra"
"345","Fulica cristata","Fulica cristata","Fulica cristata"
"346","Fulmarus glacialis","Fulmarus glacialis","Fulmarus glacialis"
"347","Galerida cristata","Galerida cristata","Galerida cristata"
"348","Galerida theklae","Galerida theklae","Galerida theklae"
"349","Gallinago delicata","Gallinago delicata","Gallinago delicata"
"350","Gallinago gallinago","Gallinago gallinago","Gallinago gallinago"
"351","Gallinago hardwickii","Gallinago hardwickii","Gallinago hardwickii"
"352","Gallinago media","Gallinago media","Gallinago media"
"353","Gallinula chloropus","Gallinula chloropus","Gallinula chloropus"
"354","Gallirallus okinawae","Gallirallus okinawae",NA
"355","Garrulax canorus","Garrulax canorus","Garrulax canorus"
"356","Garrulus glandarius","Garrulus glandarius","Garrulus glandarius"
"357","Garrulus lidthi","Garrulus lidthi","Garrulus lidthi"
"358","Gavia arctica","Gavia arctica","Gavia arctica"
"359","Gavia immer","Gavia immer","Gavia immer"
"360","Gavia stellata","Gavia stellata","Gavia stellata"
"361","Gelochelidon nilotica","Gelochelidon nilotica","Gelochelidon nilotica"
"362","Gelochelidon nilotica","Gelochelidon nilotica","Gelochelidon macrotarsa"
"363","Geothlypis trichas","Geothlypis trichas","Geothlypis trichas"
"364","Glareola maldivarum","Glareola maldivarum","Glareola maldivarum"
"365","Glareola nordmanni","Glareola nordmanni","Glareola nordmanni"
"366","Glareola pratincola","Glareola pratincola","Glareola pratincola"
"367","Glaucidium passerinum","Glaucidium passerinum","Glaucidium passerinum"
"368","Gorsachius goisagi","Gorsachius goisagi","Gorsachius goisagi"
"369","Grus grus","Grus grus","Grus grus"
"370","Grus japonensis","Grus japonensis","Grus japonensis"
"371","Gypaetus barbatus","Gypaetus barbatus","Gypaetus barbatus"
"372","Gyps fulvus","Gyps fulvus","Gyps fulvus"
"373","Haematopus ostralegus","Haematopus ostralegus","Haematopus ostralegus"
"374","Haematopus palliatus","Haematopus palliatus","Haematopus palliatus"
"375","Halcyon coromanda","Halcyon coromanda","Halcyon coromanda"
"376","Haliaeetus albicilla","Haliaeetus albicilla","Haliaeetus albicilla"
"377","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Haliaeetus leucocephalus"
"378","Helmitheros vermivorum","Helmitheros vermivorum","Helmitheros vermivorum"
"379","Hieraaetus pennatus","Hieraaetus pennatus","Hieraaetus pennatus"
"380","Himantopus himantopus","Himantopus himantopus","Himantopus himantopus"
"381","Hippolais icterina","Hippolais icterina","Hippolais icterina"
"382","Hippolais olivetorum","Hippolais olivetorum","Hippolais olivetorum"
"383","Hippolais polyglotta","Hippolais polyglotta","Hippolais polyglotta"
"384","Hirundapus caudacutus","Hirundapus caudacutus","Hirundapus caudacutus"
"385","Hirundo daurica","Cecropis daurica","Cecropis daurica"
"386","Hirundo rustica","Hirundo rustica","Hirundo rustica"
"387","Hirundo tahitica","Hirundo tahitica","Hirundo tahitica"
"388","Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus histrionicus"
"389","Hydrobates castro","Hydrobates pelagicus","Hydrobates furcatus"
"390","Hydrobates castro","Hydrobates pelagicus","Hydrobates homochroa"
"391","Hydrobates castro","Hydrobates pelagicus","Hydrobates matsudairae"
"392","Hydrobates castro","Hydrobates pelagicus","Hydrobates pelagicus"
"393","Hydrobates castro","Hydrobates pelagicus","Hydrobates tethys"
"394","Hydrobates castro","Hydrobates pelagicus","Hydrobates castro"
"395","Hydrobates castro","Hydrobates pelagicus","Hydrobates leucorhous"
"396","Hydrobates leucorhous","Hydrobates pelagicus","Hydrobates furcatus"
"397","Hydrobates leucorhous","Hydrobates pelagicus","Hydrobates homochroa"
"398","Hydrobates leucorhous","Hydrobates pelagicus","Hydrobates matsudairae"
"399","Hydrobates leucorhous","Hydrobates pelagicus","Hydrobates pelagicus"
"400","Hydrobates leucorhous","Hydrobates pelagicus","Hydrobates tethys"
