scientificName
Chlorostilbon mellisugus
Cynanthus auriceps
Chlorestes notata
Riccordia ricordii
Chlorostilbon russatus
Chrysophlegma flavinucha
Chrysophlegma humii
Chrysophlegma mentale
Chrysophlegma miniaceum
Chlorostilbon stenurus
Riccordia swainsonii
Chondrohierax uncinatus
Chondrohierax wilsonii
Chunga burmeisteri
Chordeiles acutipennis
Chordeiles gundlachii
Chordeiles minor
Chordeiles nacunda
Ciconia microscelis
Ciconia nigra
Ciconia stormi
Chordeiles rupestris
Chrysococcyx caprius
Chrysococcyx cupreus
Chrysoena viridis
Chrysolampis mosquitus
Circaetus cinerascens
Circaetus cinereus
Circaetus fasciolatus
Ciccaba albitarsis
Ciccaba huhula
Ciccaba nigrolineata
Pericrocotus albifrons
Ciconia abdimii
Ciconia ciconia
Ciconia maguari
Circus approximans
Circus assimilis
Circus buffoni
Circus cinereus
Circus hudsonius
Circus macrosceles
Cittura cyanotis
Pericrocotus cinnamomeus
Circus maillardi
Circus ranivorus
Circus spilothorax
Cittura sanghirensis
Cladorhynchus leucocephalus
Clamator coromandus
Clamator jacobinus
Clamator levaillantii
Clanga hastata
Furnarius cristatus
Clangula hyemalis
Pterorhinus galbanus
Claravis pretiosa
Coccyzus longirostris
Dacelo rex
Clytolaema rubricauda
Coccycua cinerea
Coccyzus euleri
Coccyzus ferrugineus
Coccyzus lansbergi
Pericrocotus erythropygius
Pericrocotus montanus
Pericrocotus solaris
Coccyzus pluvialis
Coccyzus vetula
Dendrocygna viduata
Coeligena coeligena
Coeligena conradii
Coeligena dichroura
Coeligena eisenmanni
Coeligena eos
Perisoreus infaustus
Coeligena helianthea
Coeligena inca
Coeligena iris
Coeligena wilsoni
Coeligena lutetiae
Coenocorypha barrierensis
Petroica australis
Petroica boodang
Coeligena osculans
Coenocorypha iredalei
Colaptes cafer
Coeligena torquata
Colaptes campestris
Colaptes campestroides
Colaptes chrysoides
Colaptes aeruginosus
Colaptes atriceps
Colaptes auratus
Colaptes auricularis
Colaptes mexicanoides
Himantopus novaezelandiae
Colaptes melanochloros
Colaptes melanolaimus
Colaptes pitius
Colaptes punctigula
Colaptes rivolii
Colaptes rubiginosus
Cyrtonyx ocellatus
Colibri coruscans
Colibri serrirostris
Platyrinchus mystaceus
Colibri thalassinus
Platyrinchus saturatus
Platysmurus aterrimus
Platysmurus leucopterus
Dyaphorophyia ansorgei
Colinus virginianus
Columba versicolor
Colius castanotus
Colius colius
Colius leucocephalus
Colius striatus
Collocalia linchi
Collocalia troglodytes
Columba albinucha
Columba albitorques
Columba vitiensis
Columba arquatrix
Columba sjostedti
Columba bollii
Columba delegorguei
Columba elphinstonii
Columbina buckleyi
Columbina cruziana
Dyaphorophyia castanea
Columba hodgsonii
Columba iriditorques
Columba janthina
Columba jouyi
Columba junoniae
Columba leucomela
Columba leuconota
Columba oenas
Columba oliviae
Columba thiriouxi
Columba palumboides
Columba pollenii
Columba pulchricollis
Coracias caudatus
Columba rupestris
Columba torringtoniae
Coracias cyanogaster
Hydrocoloeus minutus
Columbina inca
Columbina minuta
Columbina picui
Columbina squammata
Columbina talpacoti
Conuropsis carolinensis
Coracias abyssinicus
Coracias affinis
Coracias benghalensis
Coracias naevius
Coracias spatulatus
Coracias temminckii
Coracopsis barklyi
Coracopsis nigra
Coracopsis sibilans
Corythornis cristatus
Corythornis leucogaster
Corythornis madagascariensis
Coracopsis vasa
Coragyps atratus
Corythaeola cristata
Corythaixoides concolor
Corythaixoides leopoldi
Corythaixoides personatus
Corythornis nais
Corythornis thomensis
Coscoroba coscoroba
Coturnicops exquisitus
Coturnicops notatus
Coturnix novaezelandiae
Coturnix pectoralis
Coua caerulea
Coua coquereli
Coturnix coromandelica
