occurrenceId;verbatimScientificName;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species;canonicalName;authorship;usageKey;acceptedUsageKey
;Buteo swainsoni;Buteo swainsoni Bonaparte, 1838;2480562;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo swainsoni;Buteo swainsoni;Bonaparte, 1838;2480562;
;Buteo trizonatus;Buteo trizonatus Rudebeck, 1957;5844407;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo trizonatus;Buteo trizonatus;Rudebeck, 1957;5844407;
;Buteo ventralis;Buteo ventralis Gould, 1837;2480565;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo ventralis;Buteo ventralis;Gould, 1837;2480565;
;Buteogallus aequinoctialis;Buteogallus aequinoctialis (Gmelin, 1788);2480654;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteogallus;Buteogallus aequinoctialis;Buteogallus aequinoctialis;(Gmelin, 1788) ;2480654;
;Buteogallus anthracinus;Buteogallus anthracinus (Deppe, 1830);2480651;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteogallus;Buteogallus anthracinus;Buteogallus anthracinus;(Deppe, 1830) ;2480651;
;Buteogallus coronatus;Buteogallus coronatus (Vieillot, 1817);7661920;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Harpyhaliaetus;Harpyhaliaetus coronatus;Buteogallus coronatus;(Vieillot, 1817) ;7661920;2480375
;Buteogallus gundlachii;Buteogallus gundlachii (Cabanis, 1855);5788521;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteogallus;Buteogallus gundlachii;Buteogallus gundlachii;(Cabanis, 1855) ;5788521;
;Buteogallus lacernulatus;Buteogallus lacernulatus (Temminck, 1827);7537530;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Leucopternis;Leucopternis lacernulatus;Buteogallus lacernulatus;(Temminck, 1827) ;7537530;5788530
;Buteogallus meridionalis;Buteogallus meridionalis (Latham, 1790);2480655;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteogallus;Buteogallus meridionalis;Buteogallus meridionalis;(Latham, 1790) ;2480655;
;Buteogallus schistaceus;Buteogallus schistaceus (Sundevall, 1850);7951098;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Leucopternis;Leucopternis schistaceus;Buteogallus schistaceus;(Sundevall, 1850) ;7951098;5788528
