sp_atlas;sp_atlas adapted1;Family_BL;Order_BL;Hand-Wing.Index_BL;Mass_BL;Habitat_BL;Habitat.Density_BL;Migration_BL;Trophic.Level_BL;Trophic.Niche_BL;Primary.Lifestyle_BL;Range.Size_BL;sp_atlas adapted2;Family_BT;Order_BT;Hand-Wing.Index_BT;Mass_BT;Habitat_BT;Habitat.Density_BT;Migration_BT;Trophic.Level_BT;Trophic.Niche_BT;Primary.Lifestyle_BT;Range.Size_BT
Aegypius monachus;Aegypius monachus;Accipitridae;Accipitriformes;41.1;9320.55;Forest;2;1;Scavenger;Scavenger;Terrestrial;7718571.19;Aegypius monachus;Accipitridae;Accipitriformes;41.1;9320.55;Forest;2;1;Scavenger;Scavenger;Terrestrial;7718571.19
Fulica cristata;Fulica cristata;Rallidae;Gruiformes;36.1;826;Wetland;3;1;Herbivore;Herbivore aquatic;Aquatic;5291448.7;Fulica cristata;Rallidae;Gruiformes;36.1;826;Wetland;3;1;Herbivore;Herbivore aquatic;Aquatic;5291448.7
Fulica cristata;Fulica cristata;Rallidae;Gruiformes;36.1;826;Wetland;3;1;Herbivore;Herbivore aquatic;Aquatic;5291448.7;Fulica cristata;Rallidae;Gruiformes;36.1;826;Wetland;3;1;Herbivore;Herbivore aquatic;Aquatic;5291448.7
Fulica cristata;Fulica cristata;Rallidae;Gruiformes;36.1;826;Wetland;3;1;Herbivore;Herbivore aquatic;Aquatic;5291448.7;Fulica cristata;Rallidae;Gruiformes;36.1;826;Wetland;3;1;Herbivore;Herbivore aquatic;Aquatic;5291448.7
Oxyura leucocephala;Oxyura leucocephala;Anatidae;Anseriformes;47;661.09;Wetland;3;1;Omnivore;Aquatic predator;Aquatic;4016410.78;Oxyura leucocephala;Anatidae;Anseriformes;47;661.09;Wetland;3;1;Omnivore;Aquatic predator;Aquatic;4016410.78
Oxyura leucocephala;Oxyura leucocephala;Anatidae;Anseriformes;47;661.09;Wetland;3;1;Omnivore;Aquatic predator;Aquatic;4016410.78;Oxyura leucocephala;Anatidae;Anseriformes;47;661.09;Wetland;3;1;Omnivore;Aquatic predator;Aquatic;4016410.78
Oxyura leucocephala;Oxyura leucocephala;Anatidae;Anseriformes;47;661.09;Wetland;3;1;Omnivore;Aquatic predator;Aquatic;4016410.78;Oxyura leucocephala;Anatidae;Anseriformes;47;661.09;Wetland;3;1;Omnivore;Aquatic predator;Aquatic;4016410.78
Phoenicopterus roseus;Phoenicopterus roseus;Phoenicopteridae;Phoenicopteriformes;41.6;3031.59;Wetland;3;2;Carnivore;Aquatic predator;Terrestrial;5093092.47;Phoenicopterus roseus;Phoenicopteridae;Phoenicopteriformes;41.6;3031.59;Wetland;3;2;Carnivore;Aquatic predator;Terrestrial;5093092.47
Phoenicopterus roseus;Phoenicopterus roseus;Phoenicopteridae;Phoenicopteriformes;41.6;3031.59;Wetland;3;2;Carnivore;Aquatic predator;Terrestrial;5093092.47;Phoenicopterus roseus;Phoenicopteridae;Phoenicopteriformes;41.6;3031.59;Wetland;3;2;Carnivore;Aquatic predator;Terrestrial;5093092.47
Phoenicopterus roseus;Phoenicopterus roseus;Phoenicopteridae;Phoenicopteriformes;41.6;3031.59;Wetland;3;2;Carnivore;Aquatic predator;Terrestrial;5093092.47;Phoenicopterus roseus;Phoenicopteridae;Phoenicopteriformes;41.6;3031.59;Wetland;3;2;Carnivore;Aquatic predator;Terrestrial;5093092.47
