"","sp_atlas","Accepted_SPNAME","HWI","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Range.Size","BL_name","BT_name","FP","Shapefile_name","sd_PC1","sd_PC2"
"513","Larus fuscus","Larus fuscus","57.4","762.36","Coastal","3","2","Carnivore","Aquatic predator","Generalist","4200335.24","Larus fuscus","Larus fuscus",1.49481104285042,"Larus fuscus",1.3247415292249,0.77725243993449
"514","Larus genei","Chroicocephalus genei","56.9","281","Coastal","3","2","Carnivore","Aquatic predator","Generalist","1728211.09","Larus genei","Larus genei",3.83864001071639,"Larus genei",0.9533420564925,1.30496547038325
"515","Larus hyperboreus","Larus hyperboreus","51.8","1529.04","Coastal","3","3","Carnivore","Omnivore","Generalist","2430897.95","Larus hyperboreus","Larus hyperboreus",1.47012301285442,"Larus hyperboreus",0.716630909322505,0.586616152262581
"516","Larus ichthyaetus","Ichthyaetus ichthyaetus","54.7","1378.84","Coastal","3","3","Omnivore","Omnivore","Generalist","739530.35","Larus ichthyaetus","Larus ichthyaetus",3.18672787375581,"Larus ichthyaetus",0.539810218159815,0.781830470294518
"517","Larus marinus","Larus marinus","52.3","1649.71","Coastal","3","2","Omnivore","Omnivore","Terrestrial","1075355.21","Larus marinus","Larus marinus",1.51835551163776,"Larus marinus",0.88195135141007,0.625927355999592
"518","Larus melanocephalus","Ichthyaetus melanocephalus","57.1","256","Coastal","3","2","Carnivore","Omnivore","Generalist","250526.34","Larus melanocephalus","Larus melanocephalus",2.76309583381247,"Larus melanocephalus",0.505680291518154,0.718791467725622
"519","Larus michahellis","Larus michahellis","54.6","1111.89","Coastal","3","2","Carnivore","Aquatic predator","Generalist","858974.47","Larus michahellis","Larus michahellis",1.42615356143776,"Larus michahellis",0.525096375296254,0.926420930709753
"520","Larus ridibundus","Chroicocephalus ridibundus","58.6","284","Wetland","3","2","Carnivore","Aquatic predator","Generalist","17767358.5","Larus ridibundus","Larus ridibundus",2.19849750471639,"Larus ridibundus",1.24946386003363,1.11874868741013
"521","Larus schistisagus","Larus schistisagus","53.1","1323","Coastal","3","2","Carnivore","Omnivore","Generalist","1114985.14","Larus schistisagus","Larus schistisagus",1.10688455844709,"Larus schistisagus",0.954486569634402,0.892163647729154
"522","Luscinia akahige",NA,"24.8","17","Forest","1","1","Carnivore","Invertivore","Terrestrial","215537.36",NA,NA,NA,NA,NA,NA
"523","Luscinia komadori",NA,"19.1","23.9","Forest","1","1","Carnivore","Omnivore","Terrestrial","2194.46",NA,NA,NA,NA,NA,NA
"524","Laterallus jamaicensis","Laterallus jamaicensis","21.5","32.56","Wetland","2","1","Carnivore","Aquatic predator","Terrestrial","926165.39","Laterallus jamaicensis","Laterallus jamaicensis",9.00319298789608,"Laterallus jamaicensis",1.72124503447308,1.15230423175086
"525","Leiopicus medius","Leiopicus mahrattensis","28.1","59","Woodland","1","1","Carnivore","Invertivore","Insessorial","3966649.98","Leiopicus auriceps","Dendrocopos mahrattensis",9.09061547032496,"Leiopicus medius",0.559530129525808,0.910272106580364
"526","Leiopicus medius","Leiopicus mahrattensis","28.1","59","Woodland","1","1","Carnivore","Invertivore","Insessorial","3966649.98","Leiopicus mahrattensis","Dendrocopos mahrattensis",9.09061547032496,"Leiopicus medius",0.559530129525808,0.910272106580364
"527","Leiopicus medius","Leiopicus mahrattensis","28.1","59","Woodland","1","1","Carnivore","Invertivore","Insessorial","3966649.98","Leiopicus medius","Dendrocopos mahrattensis",9.09061547032496,"Leiopicus medius",0.559530129525808,0.910272106580364
"528","Leiothrix lutea","Leiothrix lutea","12.8","21.39","Shrubland","1","1","Carnivore","Invertivore","Insessorial","2885282.76","Leiothrix laurinae","Leiothrix lutea",4.72677505665725,"Leiothrix lutea",1.36004103447387,0.803483134269617
"529","Leiothrix lutea","Leiothrix lutea","12.8","21.39","Shrubland","1","1","Carnivore","Invertivore","Insessorial","2885282.76","Leiothrix lutea","Leiothrix lutea",4.72677505665725,"Leiothrix lutea",1.36004103447387,0.803483134269617
"530","Leucophaeus atricilla","Leucophaeus atricilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Larus atricilla","Larus atricilla",2.452746092077,NA,NA,NA
"531","Limosa lapponica","Limosa lapponica","56.6","291.65","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","1469087.3","Limosa lapponica","Limosa lapponica",21.9408372433475,"Limosa lapponica",0.862195637222553,0.59463485283043
"532","Limosa limosa","Limosa limosa","51.5","288.37","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","10058061.19","Limosa limosa","Limosa limosa",22.4861655766808,"Limosa limosa",1.02440039866391,0.975319455966067
"533","Linaria cannabina","Linaria cannabina","34.4","19.53","Shrubland","2","1","Herbivore","Granivore","Terrestrial","10715477.38","Linaria cannabina","Carduelis cannabina",4.89712948776556,"Linaria cannabina",0.911244020765296,1.03196994488133
"534","Linaria flavirostris","Linaria flavirostris","31.9","15.4","Grassland","3","3","Herbivore","Granivore","Insessorial","6668808.82","Linaria flavirostris","Carduelis flavirostris",2.72958713746556,NA,NA,NA
"535","Locustella fasciolata","Locustella fasciolata","24.4","27.14","Shrubland","2","3","Carnivore","Invertivore","Insessorial","3718939.31",NA,"Locustella fasciolata",9.69730548509809,NA,NA,NA
"536","Locustella fluviatilis","Locustella fluviatilis","29.2","16.1","Wetland","3","3","Carnivore","Invertivore","Generalist","5232960.16","Locustella fluviatilis","Locustella fluviatilis",6.10439949467142,"Locustella fluviatilis",0.571253602948616,0.477787485448134
"537","Locustella lanceolata","Locustella lanceolata","23.7","10.6","Grassland","2","3","Carnivore","Invertivore","Generalist","10065240.33","Locustella lanceolata","Locustella lanceolata",4.84011629313809,"Locustella lanceolata",0.944280132684982,1.07963827284662
"538","Locustella luscinioides","Locustella luscinioides","30.1","13.89","Wetland","3","3","Carnivore","Invertivore","Generalist","4698320.69","Locustella luscinioides","Locustella luscinioides",4.20406643467142,"Locustella luscinioides",0.811309967287331,0.926444175123096
"539","Locustella naevia","Locustella naevia","25.4","13.3","Shrubland","2","3","Carnivore","Invertivore","Generalist","7984518.2","Locustella naevia","Locustella naevia",4.52453760968475,"Locustella naevia",0.944513842744441,0.847119151709676
"540","Locustella ochotensis","Locustella ochotensis","29.6","18.5","Shrubland","3","3","Carnivore","Invertivore","Generalist","837155.24",NA,"Locustella ochotensis",3.57159027319809,NA,NA,NA
"541","Locustella pleskei","Locustella pleskei","24","20","Wetland","3","2","Carnivore","Invertivore","Generalist","4130.25","Locustella alfredi","Locustella pleskei",3.57159027319809,NA,NA,NA
"542","Locustella pryeri","Locustella pryeri","18.9","14.18","Wetland","2","3","Carnivore","Invertivore","Insessorial","201150.62",NA,"Locustella pryeri",7.79635068669618,NA,NA,NA
"543","Lonchura punctulata","Lonchura punctulata","22","13.6","Grassland","2","1","Herbivore","Granivore","Generalist","7189322.58","Lonchura punctulata","Lonchura punctulata",4.19777402892589,"Lonchura punctulata",1.6908804213889,1.40745527291472
"544","Lophodytes cucullatus","Lophodytes cucullatus","50.9","613.77","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","5510396.5","Lophodytes cucullatus","Lophodytes cucullatus",8.88539143605484,"Lophodytes cucullatus",1.14932067116954,0.827812951405783
"545","Lophophanes cristatus","Lophophanes cristatus","19.8","11.04","Woodland","1","1","Omnivore","Invertivore","Insessorial","5918314.94","Lophophanes cristatus",NA,NA,"Lophophanes cristatus",0.757473710030172,0.599948550416166
"546","Loxia curvirostra","Loxia curvirostra","37.6","38.29","Forest","1","2","Herbivore","Granivore","Insessorial","22671334.66","Loxia curvirostra","Loxia curvirostra",2.48164961568018,"Loxia curvirostra",1.37964833148664,1.1793065753847
"547","Loxia leucoptera","Loxia leucoptera","35.7","28.69","Forest","1","3","Herbivore","Omnivore","Insessorial","16098090.24","Loxia leucoptera","Loxia leucoptera",2.83344771901351,"Loxia leucoptera",1.05934159874815,0.950436362791348
"548","Loxia pytyopsittacus","Loxia pytyopsittacus","36.6","53","Forest","1","2","Herbivore","Granivore","Insessorial","3155285.39","Loxia pytyopsittacus","Loxia pytyopsittacus",2.48164961568018,"Loxia pytyopsittacus",0.666637429573454,0.514208535259735
"549","Loxia scotica","Loxia scotica","34.5","43.17","Forest","1","2","Herbivore","Granivore","Insessorial","13734.01","Loxia scotica","Loxia scotica",2.53740200433018,"Loxia scotica",0.55041139994433,0.220020286875762
"550","Lullula arborea","Lullula arborea","27.7","26.9","Woodland","3","2","Omnivore","Omnivore","Terrestrial","7140559.13","Lullula arborea","Lullula arborea",11.3383454352027,"Lullula arborea",0.646123363465055,0.956283380201413
"551","Luscinia calliope","Luscinia calliope","22.8","18.5","Shrubland","2","3","Carnivore","Invertivore","Terrestrial","10841460.62",NA,"Luscinia calliope",10.9250872972003,NA,NA,NA
"552","Luscinia cyane","Luscinia cyane","26","14.8","Forest","2","3","Carnivore","Invertivore","Generalist","6965582.78",NA,"Luscinia cyane",6.04169889061846,NA,NA,NA
"553","Luscinia luscinia","Luscinia luscinia","29.9","23.8","Shrubland","1","3","Carnivore","Invertivore","Generalist","6890175.16","Luscinia luscinia","Luscinia luscinia",8.86687704317606,"Luscinia luscinia",0.668518070146177,0.564100219829888
"554","Luscinia megarhynchos","Luscinia megarhynchos","27.6","19.6","Woodland","1","3","Carnivore","Invertivore","Generalist","6778462.19","Luscinia megarhynchos","Luscinia megarhynchos",8.86687704317606,"Luscinia megarhynchos",0.908511368928299,1.1560014268536
"555","Luscinia svecica","Luscinia svecica","21.3","17.23","Grassland","2","3","Carnivore","Invertivore","Generalist","19896158.85","Luscinia svecica","Luscinia svecica",12.7310397821761,NA,NA,NA
"556","Lymnocryptes minimus","Lymnocryptes minimus","43.8","50.07","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","7671774.57","Lymnocryptes minimus","Lymnocryptes minimus",34.7619350416808,"Lymnocryptes minimus",0.993295189130242,0.698939731488394
"557","Lyrurus mlokosiewiczi","Lyrurus mlokosiewiczi","28.2","813.99","Shrubland","2","1","Herbivore","Herbivore terrestrial","Generalist","104757.72","Lyrurus mlokosiewiczi","Tetrao mlokosiewiczi",4.52351143291454,NA,NA,NA
"558","Lyrurus tetrix","Lyrurus tetrix","36.8","1068.66","Forest","3","1","Herbivore","Herbivore terrestrial","Terrestrial","14007422.54","Lyrurus tetrix","Tetrao tetrix",4.52351143291454,"Lyrurus tetrix",1.04047783496695,1.11163831538769
"559","Mareca penelope","Anas americana","57.2","770.03","Wetland","3","3","Herbivore","Omnivore","Terrestrial","16342850.08","Mareca americana","Anas americana",2.99624763031448,"Mareca americana",1.1851295113382,0.980601508894926
"560","Mareca penelope","Anas americana","57.2","770.03","Wetland","3","3","Herbivore","Omnivore","Terrestrial","16342850.08","Mareca americana","Anas americana",2.99624763031448,"Mareca falcata",1.03930105087271,1.27260041709824
"561","Mareca penelope","Anas americana","57.2","770.03","Wetland","3","3","Herbivore","Omnivore","Terrestrial","16342850.08","Mareca americana","Anas americana",2.99624763031448,"Mareca strepera",1.00167707475142,1.07639221791827
"562","Mareca penelope","Anas americana","57.2","770.03","Wetland","3","3","Herbivore","Omnivore","Terrestrial","16342850.08","Mareca falcata","Anas americana",2.99624763031448,"Mareca americana",1.1851295113382,0.980601508894926
"563","Mareca penelope","Anas americana","57.2","770.03","Wetland","3","3","Herbivore","Omnivore","Terrestrial","16342850.08","Mareca falcata","Anas americana",2.99624763031448,"Mareca falcata",1.03930105087271,1.27260041709824
"564","Mareca penelope","Anas americana","57.2","770.03","Wetland","3","3","Herbivore","Omnivore","Terrestrial","16342850.08","Mareca falcata","Anas americana",2.99624763031448,"Mareca strepera",1.00167707475142,1.07639221791827
"565","Mareca penelope","Anas americana","57.2","770.03","Wetland","3","3","Herbivore","Omnivore","Terrestrial","16342850.08","Mareca penelope","Anas americana",2.99624763031448,"Mareca americana",1.1851295113382,0.980601508894926
"566","Mareca penelope","Anas americana","57.2","770.03","Wetland","3","3","Herbivore","Omnivore","Terrestrial","16342850.08","Mareca penelope","Anas americana",2.99624763031448,"Mareca falcata",1.03930105087271,1.27260041709824
"567","Mareca penelope","Anas americana","57.2","770.03","Wetland","3","3","Herbivore","Omnivore","Terrestrial","16342850.08","Mareca penelope","Anas americana",2.99624763031448,"Mareca strepera",1.00167707475142,1.07639221791827
"568","Mareca penelope","Anas americana","57.2","770.03","Wetland","3","3","Herbivore","Omnivore","Terrestrial","16342850.08","Mareca sibilatrix","Anas americana",2.99624763031448,"Mareca americana",1.1851295113382,0.980601508894926
"569","Mareca penelope","Anas americana","57.2","770.03","Wetland","3","3","Herbivore","Omnivore","Terrestrial","16342850.08","Mareca sibilatrix","Anas americana",2.99624763031448,"Mareca falcata",1.03930105087271,1.27260041709824
"570","Mareca penelope","Anas americana","57.2","770.03","Wetland","3","3","Herbivore","Omnivore","Terrestrial","16342850.08","Mareca sibilatrix","Anas americana",2.99624763031448,"Mareca strepera",1.00167707475142,1.07639221791827
"571","Mareca penelope","Anas americana","57.2","770.03","Wetland","3","3","Herbivore","Omnivore","Terrestrial","16342850.08","Mareca strepera","Anas americana",2.99624763031448,"Mareca americana",1.1851295113382,0.980601508894926
"572","Mareca penelope","Anas americana","57.2","770.03","Wetland","3","3","Herbivore","Omnivore","Terrestrial","16342850.08","Mareca strepera","Anas americana",2.99624763031448,"Mareca falcata",1.03930105087271,1.27260041709824
"573","Mareca penelope","Anas americana","57.2","770.03","Wetland","3","3","Herbivore","Omnivore","Terrestrial","16342850.08","Mareca strepera","Anas americana",2.99624763031448,"Mareca strepera",1.00167707475142,1.07639221791827
"574","Mareca strepera","Anas americana","54.8","915.58","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","18552362.65","Mareca americana","Anas americana",2.99624763031448,"Mareca americana",1.1851295113382,0.980601508894926
"575","Mareca strepera","Anas americana","54.8","915.58","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","18552362.65","Mareca americana","Anas americana",2.99624763031448,"Mareca falcata",1.03930105087271,1.27260041709824
"576","Mareca strepera","Anas americana","54.8","915.58","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","18552362.65","Mareca americana","Anas americana",2.99624763031448,"Mareca strepera",1.00167707475142,1.07639221791827
"577","Mareca strepera","Anas americana","54.8","915.58","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","18552362.65","Mareca falcata","Anas americana",2.99624763031448,"Mareca americana",1.1851295113382,0.980601508894926
"578","Mareca strepera","Anas americana","54.8","915.58","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","18552362.65","Mareca falcata","Anas americana",2.99624763031448,"Mareca falcata",1.03930105087271,1.27260041709824
"579","Mareca strepera","Anas americana","54.8","915.58","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","18552362.65","Mareca falcata","Anas americana",2.99624763031448,"Mareca strepera",1.00167707475142,1.07639221791827
"580","Mareca strepera","Anas americana","54.8","915.58","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","18552362.65","Mareca penelope","Anas americana",2.99624763031448,"Mareca americana",1.1851295113382,0.980601508894926
"581","Mareca strepera","Anas americana","54.8","915.58","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","18552362.65","Mareca penelope","Anas americana",2.99624763031448,"Mareca falcata",1.03930105087271,1.27260041709824
"582","Mareca strepera","Anas americana","54.8","915.58","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","18552362.65","Mareca penelope","Anas americana",2.99624763031448,"Mareca strepera",1.00167707475142,1.07639221791827
"583","Mareca strepera","Anas americana","54.8","915.58","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","18552362.65","Mareca sibilatrix","Anas americana",2.99624763031448,"Mareca americana",1.1851295113382,0.980601508894926
"584","Mareca strepera","Anas americana","54.8","915.58","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","18552362.65","Mareca sibilatrix","Anas americana",2.99624763031448,"Mareca falcata",1.03930105087271,1.27260041709824
"585","Mareca strepera","Anas americana","54.8","915.58","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","18552362.65","Mareca sibilatrix","Anas americana",2.99624763031448,"Mareca strepera",1.00167707475142,1.07639221791827
"586","Mareca strepera","Anas americana","54.8","915.58","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","18552362.65","Mareca strepera","Anas americana",2.99624763031448,"Mareca americana",1.1851295113382,0.980601508894926
"587","Mareca strepera","Anas americana","54.8","915.58","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","18552362.65","Mareca strepera","Anas americana",2.99624763031448,"Mareca falcata",1.03930105087271,1.27260041709824
"588","Mareca strepera","Anas americana","54.8","915.58","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","18552362.65","Mareca strepera","Anas americana",2.99624763031448,"Mareca strepera",1.00167707475142,1.07639221791827
"589","Marmaronetta angustirostris","Marmaronetta angustirostris","47.7","477","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","1461550.24","Marmaronetta angustirostris","Marmaronetta angustirostris",10.1917449172266,"Marmaronetta angustirostris",0.71041877308587,1.12016911800114
"590","Megaceryle alcyon","Megaceryle alcyon","33.6","148","Riverine","3","2","Carnivore","Aquatic predator","Insessorial","13996585.38","Megaceryle alcyon","Megaceryle alcyon",14.5735936502097,"Megaceryle alcyon",1.30428442038965,1.04286165603757
"591","Megaceryle lugubris","Megaceryle lugubris","29.9","270.99","Riverine","2","1","Carnivore","Aquatic predator","Insessorial","5024200.4","Megaceryle lugubris","Megaceryle lugubris",17.2731043752097,"Megaceryle lugubris",1.51671623681138,1.15795214690478
"592","Megascops asio","Megascops asio","28.8","179.99","Woodland","2","1","Carnivore","Invertivore","Insessorial","4938942.17","Megascops asio","Megascops asio",7.8040785202807,"Megascops asio",1.03324076271917,0.962260832121171
"593","Melanerpes carolinus","Melanerpes carolinus","28.2","69.5","Woodland","1","1","Omnivore","Omnivore","Insessorial","3074161.82","Melanerpes carolinus","Melanerpes carolinus",4.61624211775417,"Melanerpes carolinus",0.932046330787025,0.723105825487896
"594","Melanerpes erythrocephalus","Melanerpes erythrocephalus","29.1","71.6","Forest","1","1","Carnivore","Invertivore","Insessorial","5461683.2","Melanerpes erythrocephalus","Melanerpes erythrocephalus",5.4638530118004,"Melanerpes erythrocephalus",1.02761231501779,0.9173664665667
"595","Melanitta fusca","Melanitta fusca","49.9","1800.17","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","16433860.14","Melanitta fusca","Melanitta fusca",8.3225364348215,"Melanitta fusca",0.879846941199504,0.781729122026658
"596","Melanitta nigra","Melanitta nigra","45.7","1049.98","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","8189700.24","Melanitta nigra","Melanitta nigra",11.1681801393215,"Melanitta nigra",1.26948452158952,0.822986880822381
"597","Melanitta nigra","Melanitta nigra","45.7","1049.98","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","8189700.24","Melanitta nigra","Melanitta nigra",11.1681801393215,"Melanitta stejnegeri",0.957580740775374,1.07086919720027
"598","Melanitta nigra","Melanitta nigra","45.7","1049.98","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","8189700.24","Melanitta stejnegeri","Melanitta nigra",11.1681801393215,"Melanitta nigra",1.26948452158952,0.822986880822381
"599","Melanitta nigra","Melanitta nigra","45.7","1049.98","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","8189700.24","Melanitta stejnegeri","Melanitta nigra",11.1681801393215,"Melanitta stejnegeri",0.957580740775374,1.07086919720027
"600","Melanocorypha calandra","Melanocorypha calandra","37.2","61.6","Grassland","3","2","Omnivore","Omnivore","Terrestrial","5323937.62","Melanocorypha calandra","Melanocorypha calandra",5.72526547229572,"Melanocorypha calandra",0.831918392973432,1.07319465582963
"601","Meleagris gallopavo","Meleagris gallopavo","26","5791.37","Forest","2","1","Herbivore","Omnivore","Terrestrial","7259958.92","Meleagris gallopavo","Meleagris gallopavo",9.80799739658317,"Meleagris gallopavo",1.00725409999631,1.03409914810937
"602","Melospiza georgiana","Melospiza georgiana","19.1","16.1","Wetland","2","3","Omnivore","Omnivore","Generalist","6032762.64","Melospiza georgiana","Melospiza georgiana",2.79787218002573,"Melospiza georgiana",0.915818046910295,0.847292672693243
"603","Melospiza lincolnii","Melospiza lincolnii","22.3","16.6","Wetland","2","3","Omnivore","Omnivore","Generalist","7567216.93","Melospiza lincolnii","Melospiza lincolnii",2.79787218002573,"Melospiza lincolnii",1.16558337305971,1.00943636725218
"604","Melospiza melodia","Melospiza melodia","20.1","21.91","Shrubland","2","2","Omnivore","Omnivore","Generalist","10313728.38","Melospiza melodia","Melospiza melodia",3.04920682542573,"Fringilla mo",1.06593695931277,0.974054385781882
"605","Melospiza melodia","Melospiza melodia","20.1","21.91","Shrubland","2","2","Omnivore","Omnivore","Generalist","10313728.38","Melospiza melodia","Melospiza melodia",3.04920682542573,"Melospiza melodia",1.25690526013545,1.17463948299091
"606","Mergellus albellus","Mergellus albellus","53.8","608.55","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","11990223.32","Mergellus albellus","Mergellus albellus",10.2174621736548,"Mergellus albellus",0.867678664115198,0.908187586617235
"607","Mergus merganser","Mergus merganser","46","1451.02","Riverine","3","3","Carnivore","Aquatic predator","Aquatic","24915961.61","Mergus merganser","Mergus merganser",4.9810612137215,"Mergus merganser",1.19000096143675,1.2077588874109
"608","Mergus serrator","Mergus serrator","49.3","1015.17","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","23632905.44","Mergus serrator","Mergus serrator",4.9810612137215,"Mergus serrator",1.23064243571933,1.05232544206356
"609","Merops apiaster","Merops apiaster","45.5","56.6","Woodland","2","3","Carnivore","Invertivore","Insessorial","11028502.02","Merops apiaster","Merops apiaster",7.77378044035434,"Merops apiaster",0.837657488125883,1.17095669105453
"610","Merops persicus","Merops persicus","52","49.3","Desert","3","3","Carnivore","Invertivore","Insessorial","3658429.52","Merops persicus","Merops persicus",5.79241732122101,"Merops persicus",0.929839353893458,1.22953700999041
"611","Microcarbo pygmaeus","Microcarbo pygmeus","31.8","675.97","Wetland","3","2","Carnivore","Aquatic predator","Aquatic","617480.54","Microcarbo pygmaeus","Phalacrocorax pygmeus",9.1919710607224,NA,NA,NA
"612","Miliaria calandra","Emberiza calandra","26.5","48.5","Grassland","3","2","Herbivore","Omnivore","Terrestrial","7483952.2","Emberiza calandra","Miliaria calandra",8.77725004738137,"Emberiza calandra",0.747977430215825,1.16142790101006
"613","Milvus migrans","Milvus migrans","48.1","734.1","Woodland","3","3","Omnivore","Omnivore","Aerial","59168603.49","Milvus migrans","Milvus migrans",8.19509380901289,"Milvus migrans",1.88850294075524,1.27544223062553
"614","Milvus milvus","Milvus milvus","49.9","1071.77","Shrubland","2","2","Omnivore","Omnivore","Generalist","1698401.57","Milvus milvus","Milvus milvus",8.19509380901289,"Milvus milvus",0.537312395027055,0.704354175450505
"615","Mimus polyglottos","Mimus polyglottos","20.6","48.5","Shrubland","2","3","Omnivore","Omnivore","Generalist","10145517.51","Mimus polyglottos","Mimus polyglottos",3.03913881688466,"Mimus polyglottos",1.26069034071905,1.16333662418284
"616","Mniotilta varia","Mniotilta varia","25.5","10.9","Forest","1","3","Carnivore","Invertivore","Insessorial","5385503.08","Mniotilta varia","Mniotilta varia",8.37873628294147,"Mniotilta varia",1.04266541763844,0.890484428126631
"617","Molothrus ater","Molothrus ater","33","40.26","Forest","2","3","Carnivore","Invertivore","Terrestrial","11727469.53","Molothrus armenti","Molothrus ater",2.06894218892468,"Molothrus ater",1.11366340898335,1.08228390715904
"618","Molothrus ater","Molothrus ater","33","40.26","Forest","2","3","Carnivore","Invertivore","Terrestrial","11727469.53","Molothrus ater","Molothrus ater",2.06894218892468,"Molothrus ater",1.11366340898335,1.08228390715904
"619","Monticola saxatilis","Monticola saxatilis","36.2","50.3","Rock","2","3","Carnivore","Invertivore","Insessorial","8709224.99","Monticola saxatilis","Monticola saxatilis",5.68399290036315,"Monticola saxatilis",1.01858813091996,1.18995689230792
"620","Monticola solitarius","Monticola solitarius","29.5","53.65","Rock","3","2","Carnivore","Omnivore","Insessorial","9788977.12","Monticola solitarius","Monticola solitarius",5.68399290036315,"Monticola solitarius",1.58815218406251,1.25701815264715
"621","Montifringilla nivalis","Montifringilla nivalis","38.1","36.9","Rock","3","2","Herbivore","Granivore","Terrestrial","4344468.8","Montifringilla nivalis","Montifringilla nivalis",7.31600293171419,NA,NA,NA
"622","Morus bassanus","Morus bassanus","62.1","2998.74","Marine","3","2","Carnivore","Aquatic predator","Aerial","18270100.05","Morus bassanus","Morus bassanus",10.2940818541874,"Morus bassanus",0.910465298641891,0.888170509581399
"623","Motacilla alba","Motacilla alba","31.4","23.93","Human Modified","3","3","Carnivore","Invertivore","Terrestrial","39488711.64","Motacilla alba","Motacilla alba",5.12196203057903,"Motacilla alba",1.30305063377309,1.25851748912951
"624","Motacilla cinerea","Motacilla cinerea","34.6","17.15","Riverine","3","2","Carnivore","Invertivore","Terrestrial","19613139.17","Motacilla cinerea","Motacilla cinerea",4.84277684926236,"Motacilla cinerea",1.41120221629413,1.25224268408008
"625","Motacilla citreola","Motacilla citreola","28.2","19.11","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","16401945.75","Motacilla citreola","Motacilla citreola",4.44268480757903,"Motacilla citreola",0.908157243439298,1.19713706632877
"626","Motacilla flava","Motacilla flava","31.1","17.68","Grassland","3","3","Carnivore","Invertivore","Terrestrial","28413443.56","Motacilla flava","Motacilla flava",4.44268480757903,"Motacilla flava",1.11676374521365,1.1141592828393
"627","Motacilla grandis","Motacilla grandis","28.7","30.16","Riverine","3","1","Carnivore","Invertivore","Terrestrial","413664.86","Motacilla grandis","Motacilla grandis",4.94396304381236,"Motacilla grandis",0.861909963815308,0.791507734526607
"628","Muscicapa dauurica","Muscicapa latirostris","29.4","9.8","Woodland","1","3","Carnivore","Invertivore","Insessorial","6794474.03","Muscicapa dauurica","Muscicapa dauurica",3.24275248381246,"Muscicapa dauurica",2.27769234499883,1.38258524740243
"629","Muscicapa sibirica","Muscicapa sibirica","33","13.2","Forest","1","3","Carnivore","Invertivore","Insessorial","8436138.82","Muscicapa sibirica","Muscicapa sibirica",5.76766791919818,"Muscicapa sibirica",1.44760553564103,1.30710233462811
"630","Muscicapa striata","Muscicapa striata","30.2","15.9","Forest","1","3","Carnivore","Invertivore","Insessorial","16752202.89","Muscicapa striata","Muscicapa striata",6.87392579433429,"Muscicapa striata",0.996937978940548,1.16966888187705
"631","Myiarchus crinitus","Myiarchus crinitus","21.4","32.1","Woodland","1","3","Omnivore","Invertivore","Insessorial","5137539.15","Myiarchus crinitus","Myiarchus crinitus",3.9013703389108,"Myiarchus crinitus",1.19481859885614,0.883725768660691
"632","Myiopsitta monachus","Myiopsitta monachus","44.7","120","Human Modified","2","1","Herbivore","Omnivore","Insessorial","2854802.75","Myiopsitta monachus","Myiopsitta monachus",17.8294419412559,"Myiopsitta monachus",0.804389913512283,1.01708278091998
"633","Neophron percnopterus","Neophron percnopterus","48","2082","Grassland","3","3","Omnivore","Scavenger","Generalist","14111672.38","Neophron percnopterus","Neophron percnopterus",23.3906051811601,"Neophron percnopterus",1.19811033254937,1.44968413903255
"634","Netta rufina","Netta rufina","47.5","1118","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","6127779.64","Netta rufina","Netta rufina",3.23767391982872,"Netta rufina",0.871435092893709,1.03473434999902
"635","Ninox scutulata","Ninox scutulata","29.2","191","Forest","1","3","Carnivore","Invertivore","Insessorial","9587212.75","Ninox scutulata","Ninox scutulata",12.1033296693316,"Ninox scutulata",1.56182510399404,1.45442681481936
