"","sp_atlas","Accepted_SPNAME","HWI","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Range.Size"
"432","Larus audouinii","Ichthyaetus audouinii","60","534.99","Marine","3","2","Carnivore","Aquatic predator","Aerial","22485.41"
"433","Larus cachinnans","Larus cachinnans","56.5","1111.89","Coastal","3","3","Carnivore","Omnivore","Generalist","1659661.38"
"434","Larus canus","Larus canus","58.6","412.53","Coastal","3","3","Carnivore","Omnivore","Terrestrial","17992527.98"
"435","Larus crassirostris","Larus crassirostris","59.1","561","Coastal","3","2","Carnivore","Aquatic predator","Aerial","187875.39"
"436","Larus delawarensis","Larus delawarensis","56.2","516.31","Coastal","3","2","Carnivore","Omnivore","Terrestrial","5396423.36"
"437","Larus fuscus","Larus fuscus","57.4","762.36","Coastal","3","2","Carnivore","Aquatic predator","Generalist","4200335.24"
"438","Larus genei","Chroicocephalus genei","56.9","281","Coastal","3","2","Carnivore","Aquatic predator","Generalist","1728211.09"
"439","Larus hyperboreus","Larus hyperboreus","51.8","1529.04","Coastal","3","3","Carnivore","Omnivore","Generalist","2430897.95"
"440","Larus ichthyaetus","Ichthyaetus ichthyaetus","54.7","1378.84","Coastal","3","3","Omnivore","Omnivore","Generalist","739530.35"
"441","Larus marinus","Larus marinus","52.3","1649.71","Coastal","3","2","Omnivore","Omnivore","Terrestrial","1075355.21"
"442","Larus melanocephalus","Ichthyaetus melanocephalus","57.1","256","Coastal","3","2","Carnivore","Omnivore","Generalist","250526.34"
"443","Larus michahellis","Larus michahellis","54.6","1111.89","Coastal","3","2","Carnivore","Aquatic predator","Generalist","858974.47"
"444","Larus ridibundus","Chroicocephalus ridibundus","58.6","284","Wetland","3","2","Carnivore","Aquatic predator","Generalist","17767358.5"
"445","Larus schistisagus","Larus schistisagus","53.1","1323","Coastal","3","2","Carnivore","Omnivore","Generalist","1114985.14"
"446","Luscinia akahige",NA,"24.8","17","Forest","1","1","Carnivore","Invertivore","Terrestrial","215537.36"
"447","Luscinia komadori",NA,"19.1","23.9","Forest","1","1","Carnivore","Omnivore","Terrestrial","2194.46"
"448","Laterallus jamaicensis","Laterallus jamaicensis","21.5","32.56","Wetland","2","1","Carnivore","Aquatic predator","Terrestrial","926165.39"
"449","Leiopicus medius","Leiopicus mahrattensis","28.1","59","Woodland","1","1","Carnivore","Invertivore","Insessorial","3966649.98"
"450","Leiothrix lutea","Leiothrix lutea","12.8","21.39","Shrubland","1","1","Carnivore","Invertivore","Insessorial","2885282.76"
"451","Leucophaeus atricilla","Leucophaeus atricilla",NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Limosa lapponica","Limosa lapponica","56.6","291.65","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","1469087.3"
"453","Limosa limosa","Limosa limosa","51.5","288.37","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","10058061.19"
"454","Linaria cannabina","Linaria cannabina","34.4","19.53","Shrubland","2","1","Herbivore","Granivore","Terrestrial","10715477.38"
"455","Linaria flavirostris","Linaria flavirostris","31.9","15.4","Grassland","3","3","Herbivore","Granivore","Insessorial","6668808.82"
"456","Locustella fasciolata","Locustella fasciolata","24.4","27.14","Shrubland","2","3","Carnivore","Invertivore","Insessorial","3718939.31"
"457","Locustella fluviatilis","Locustella fluviatilis","29.2","16.1","Wetland","3","3","Carnivore","Invertivore","Generalist","5232960.16"
"458","Locustella lanceolata","Locustella lanceolata","23.7","10.6","Grassland","2","3","Carnivore","Invertivore","Generalist","10065240.33"
"459","Locustella luscinioides","Locustella luscinioides","30.1","13.89","Wetland","3","3","Carnivore","Invertivore","Generalist","4698320.69"
"460","Locustella naevia","Locustella naevia","25.4","13.3","Shrubland","2","3","Carnivore","Invertivore","Generalist","7984518.2"
"461","Locustella ochotensis","Locustella ochotensis","29.6","18.5","Shrubland","3","3","Carnivore","Invertivore","Generalist","837155.24"
"462","Locustella pleskei","Locustella pleskei","24","20","Wetland","3","2","Carnivore","Invertivore","Generalist","4130.25"
"463","Locustella pryeri","Locustella pryeri","18.9","14.18","Wetland","2","3","Carnivore","Invertivore","Insessorial","201150.62"
"464","Lonchura punctulata","Lonchura punctulata","22","13.6","Grassland","2","1","Herbivore","Granivore","Generalist","7189322.58"
"465","Lophodytes cucullatus","Lophodytes cucullatus","50.9","613.77","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","5510396.5"
"466","Lophophanes cristatus","Lophophanes cristatus","19.8","11.04","Woodland","1","1","Omnivore","Invertivore","Insessorial","5918314.94"
"467","Loxia curvirostra","Loxia curvirostra","37.6","38.29","Forest","1","2","Herbivore","Granivore","Insessorial","22671334.66"
"468","Loxia leucoptera","Loxia leucoptera","35.7","28.69","Forest","1","3","Herbivore","Omnivore","Insessorial","16098090.24"
"469","Loxia pytyopsittacus","Loxia pytyopsittacus","36.6","53","Forest","1","2","Herbivore","Granivore","Insessorial","3155285.39"
"470","Loxia scotica","Loxia scotica","34.5","43.17","Forest","1","2","Herbivore","Granivore","Insessorial","13734.01"
"471","Lullula arborea","Lullula arborea","27.7","26.9","Woodland","3","2","Omnivore","Omnivore","Terrestrial","7140559.13"
"472","Luscinia calliope","Luscinia calliope","22.8","18.5","Shrubland","2","3","Carnivore","Invertivore","Terrestrial","10841460.62"
"473","Luscinia cyane","Luscinia cyane","26","14.8","Forest","2","3","Carnivore","Invertivore","Generalist","6965582.78"
"474","Luscinia luscinia","Luscinia luscinia","29.9","23.8","Shrubland","1","3","Carnivore","Invertivore","Generalist","6890175.16"
"475","Luscinia megarhynchos","Luscinia megarhynchos","27.6","19.6","Woodland","1","3","Carnivore","Invertivore","Generalist","6778462.19"
"476","Luscinia svecica","Luscinia svecica","21.3","17.23","Grassland","2","3","Carnivore","Invertivore","Generalist","19896158.85"
"477","Lymnocryptes minimus","Lymnocryptes minimus","43.8","50.07","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","7671774.57"
"478","Lyrurus mlokosiewiczi","Lyrurus mlokosiewiczi","28.2","813.99","Shrubland","2","1","Herbivore","Herbivore terrestrial","Generalist","104757.72"
"479","Lyrurus tetrix","Lyrurus tetrix","36.8","1068.66","Forest","3","1","Herbivore","Herbivore terrestrial","Terrestrial","14007422.54"
"480","Mareca penelope","Anas americana","57.2","770.03","Wetland","3","3","Herbivore","Omnivore","Terrestrial","16342850.08"
"481","Mareca strepera","Anas americana","54.8","915.58","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","18552362.65"
"482","Marmaronetta angustirostris","Marmaronetta angustirostris","47.7","477","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","1461550.24"
"483","Megaceryle alcyon","Megaceryle alcyon","33.6","148","Riverine","3","2","Carnivore","Aquatic predator","Insessorial","13996585.38"
"484","Megaceryle lugubris","Megaceryle lugubris","29.9","270.99","Riverine","2","1","Carnivore","Aquatic predator","Insessorial","5024200.4"
"485","Megascops asio","Megascops asio","28.8","179.99","Woodland","2","1","Carnivore","Invertivore","Insessorial","4938942.17"
"486","Melanerpes carolinus","Melanerpes carolinus","28.2","69.5","Woodland","1","1","Omnivore","Omnivore","Insessorial","3074161.82"
"487","Melanerpes erythrocephalus","Melanerpes erythrocephalus","29.1","71.6","Forest","1","1","Carnivore","Invertivore","Insessorial","5461683.2"
"488","Melanitta fusca","Melanitta fusca","49.9","1800.17","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","16433860.14"
"489","Melanitta nigra","Melanitta nigra","45.7","1049.98","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","8189700.24"
"490","Melanocorypha calandra","Melanocorypha calandra","37.2","61.6","Grassland","3","2","Omnivore","Omnivore","Terrestrial","5323937.62"
"491","Meleagris gallopavo","Meleagris gallopavo","26","5791.37","Forest","2","1","Herbivore","Omnivore","Terrestrial","7259958.92"
"492","Melospiza georgiana","Melospiza georgiana","19.1","16.1","Wetland","2","3","Omnivore","Omnivore","Generalist","6032762.64"
"493","Melospiza lincolnii","Melospiza lincolnii","22.3","16.6","Wetland","2","3","Omnivore","Omnivore","Generalist","7567216.93"
"494","Melospiza melodia","Melospiza melodia","20.1","21.91","Shrubland","2","2","Omnivore","Omnivore","Generalist","10313728.38"
"495","Mergellus albellus","Mergellus albellus","53.8","608.55","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","11990223.32"
"496","Mergus merganser","Mergus merganser","46","1451.02","Riverine","3","3","Carnivore","Aquatic predator","Aquatic","24915961.61"
"497","Mergus serrator","Mergus serrator","49.3","1015.17","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","23632905.44"
"498","Merops apiaster","Merops apiaster","45.5","56.6","Woodland","2","3","Carnivore","Invertivore","Insessorial","11028502.02"
"499","Merops persicus","Merops persicus","52","49.3","Desert","3","3","Carnivore","Invertivore","Insessorial","3658429.52"
"500","Microcarbo pygmaeus","Microcarbo pygmeus","31.8","675.97","Wetland","3","2","Carnivore","Aquatic predator","Aquatic","617480.54"
"501","Miliaria calandra","Emberiza calandra","26.5","48.5","Grassland","3","2","Herbivore","Omnivore","Terrestrial","7483952.2"
"502","Milvus migrans","Milvus migrans","48.1","734.1","Woodland","3","3","Omnivore","Omnivore","Aerial","59168603.49"
"503","Milvus milvus","Milvus milvus","49.9","1071.77","Shrubland","2","2","Omnivore","Omnivore","Generalist","1698401.57"
"504","Mimus polyglottos","Mimus polyglottos","20.6","48.5","Shrubland","2","3","Omnivore","Omnivore","Generalist","10145517.51"
"505","Mniotilta varia","Mniotilta varia","25.5","10.9","Forest","1","3","Carnivore","Invertivore","Insessorial","5385503.08"
"506","Molothrus ater","Molothrus ater","33","40.26","Forest","2","3","Carnivore","Invertivore","Terrestrial","11727469.53"
"507","Monticola saxatilis","Monticola saxatilis","36.2","50.3","Rock","2","3","Carnivore","Invertivore","Insessorial","8709224.99"
"508","Monticola solitarius","Monticola solitarius","29.5","53.65","Rock","3","2","Carnivore","Omnivore","Insessorial","9788977.12"
"509","Montifringilla nivalis","Montifringilla nivalis","38.1","36.9","Rock","3","2","Herbivore","Granivore","Terrestrial","4344468.8"
"510","Morus bassanus","Morus bassanus","62.1","2998.74","Marine","3","2","Carnivore","Aquatic predator","Aerial","18270100.05"
"511","Motacilla alba","Motacilla alba","31.4","23.93","Human Modified","3","3","Carnivore","Invertivore","Terrestrial","39488711.64"
"512","Motacilla cinerea","Motacilla cinerea","34.6","17.15","Riverine","3","2","Carnivore","Invertivore","Terrestrial","19613139.17"
"513","Motacilla citreola","Motacilla citreola","28.2","19.11","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","16401945.75"
"514","Motacilla flava","Motacilla flava","31.1","17.68","Grassland","3","3","Carnivore","Invertivore","Terrestrial","28413443.56"
"515","Motacilla grandis","Motacilla grandis","28.7","30.16","Riverine","3","1","Carnivore","Invertivore","Terrestrial","413664.86"
"516","Muscicapa dauurica","Muscicapa latirostris","29.4","9.8","Woodland","1","3","Carnivore","Invertivore","Insessorial","6794474.03"
"517","Muscicapa sibirica","Muscicapa sibirica","33","13.2","Forest","1","3","Carnivore","Invertivore","Insessorial","8436138.82"
"518","Muscicapa striata","Muscicapa striata","30.2","15.9","Forest","1","3","Carnivore","Invertivore","Insessorial","16752202.89"
"519","Myiarchus crinitus","Myiarchus crinitus","21.4","32.1","Woodland","1","3","Omnivore","Invertivore","Insessorial","5137539.15"
"520","Myiopsitta monachus","Myiopsitta monachus","44.7","120","Human Modified","2","1","Herbivore","Omnivore","Insessorial","2854802.75"
"521","Neophron percnopterus","Neophron percnopterus","48","2082","Grassland","3","3","Omnivore","Scavenger","Generalist","14111672.38"
"522","Netta rufina","Netta rufina","47.5","1118","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","6127779.64"
"523","Ninox scutulata","Ninox scutulata","29.2","191","Forest","1","3","Carnivore","Invertivore","Insessorial","9587212.75"
"524","Nisaetus nipalensis","Nisaetus nipalensis","25.1","3004.99","Forest","1","1","Carnivore","Vertivore","Insessorial","2149247.14"
"525","Nucifraga caryocatactes","Nucifraga caryocatactes","24.4","182.51","Forest","1","2","Omnivore","Granivore","Insessorial","17894760.51"
"526","Numenius arquata","Numenius arquata","53.2","802.99","Grassland","3","3","Carnivore","Aquatic predator","Terrestrial","12491410.25"
"527","Numenius phaeopus","Numenius phaeopus","53.5","364.57","Grassland","3","3","Carnivore","Omnivore","Terrestrial","4802995.65"
"528","Nyctanassa violacea","Nyctanassa violacea","34.6","681.67","Coastal","3","2","Carnivore","Aquatic predator","Terrestrial","4196603.05"
"529","Nycticorax nycticorax","Nycticorax nycticorax","33.1","810","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","50345275.03"
"530","Oenanthe deserti","Oenanthe deserti","29.4","19.84","Grassland","3","2","Carnivore","Invertivore","Insessorial","7736786.49"
"531","Oenanthe finschii","Oenanthe finschii","23.7","27.38","Rock","3","3","Carnivore","Invertivore","Insessorial","1767328.78"
"532","Oenanthe hispanica","Oenanthe hispanica","26.4","15.04","Shrubland","2","3","Omnivore","Invertivore","Insessorial","3529344.19"
"533","Oenanthe isabellina","Oenanthe isabellina","28.8","29.4","Shrubland","3","3","Carnivore","Invertivore","Insessorial","11710698.47"
"534","Oenanthe leucura","Oenanthe leucura","21.5","41","Rock","3","2","Carnivore","Invertivore","Insessorial","1288299.84"
"535","Oenanthe oenanthe","Oenanthe oenanthe","32.1","25.39","Grassland","3","3","Carnivore","Invertivore","Insessorial","29332212.99"
"536","Oenanthe pleschanka","Oenanthe pleschanka","28.3","19.36","Rock","3","3","Carnivore","Invertivore","Insessorial","8846595.23"
"537","Onychoprion fuscatus","Onychoprion fuscatus","67.5","185.72","Marine","3","2","Carnivore","Aquatic predator","Aerial","180205.31"
"538","Oporornis formosus","Geothlypis formosa","24.9","14","Forest","1","3","Carnivore","Invertivore","Generalist","1970256.38"
"539","Oporornis philadelphia","Geothlypis philadelphia","25.3","11.74","Forest","1","3","Carnivore","Invertivore","Insessorial","2709565.27"
"540","Oriolus oriolus","Oriolus oriolus","38.5","79","Woodland","1","3","Omnivore","Omnivore","Insessorial","13665114.77"
"541","Otis tarda","Otis tarda","42.7","6759.92","Grassland","3","2","Omnivore","Omnivore","Terrestrial","4521984.02"
"542","Otus elegans","Otus elegans","34.7","124","Forest","1","1","Carnivore","Invertivore","Insessorial","4014.39"
"543","Otus lempiji","Otus lempiji","22.8","115","Forest","2","1","Carnivore","Invertivore","Insessorial","1486775.34"
"544","Otus scops","Otus scops","34.7","92","Woodland","2","3","Carnivore","Invertivore","Insessorial","8787736.92"
"545","Otus sunia","Otus sunia","30.1","78.09","Forest","1","1","Carnivore","Invertivore","Insessorial","7325311.2"
"546","Oxyura jamaicensis","Oxyura jamaicensis","41.9","608.15","Wetland","3","1","Omnivore","Aquatic predator","Aquatic","8821560.01"
"547","Oxyura leucocephala","Oxyura leucocephala","47","661.09","Wetland","3","1","Omnivore","Aquatic predator","Aquatic","4016410.78"
"548","Pagophila eburnea","Pagophila eburnea","61","549.99","Marine","3","2","Carnivore","Aquatic predator","Aerial","17367390.8"
"549","Pandion haliaetus","Pandion haliaetus","44.9","1483.2","Marine","3","3","Carnivore","Aquatic predator","Aerial","31298390.01"
"550","Panurus biarmicus","Panurus biarmicus","22.1","13.82","Wetland","3","2","Omnivore","Invertivore","Insessorial","11689099.28"
"551","Parula americana","Setophaga americana","28.1","7.84","Forest","2","3","Carnivore","Invertivore","Insessorial","3355702.9"
"552","Parus ater","Parus afer","21.9","9.2","Forest","1","1","Omnivore","Invertivore","Insessorial","18987457.58"
"553","Parus caeruleus","Elanus caeruleus","21","11.1","Forest","1","1","Omnivore","Invertivore","Insessorial","8753389.8"
"554","Parus cristatus","Lanius cristatus","19.8","11.04","Woodland","1","1","Omnivore","Invertivore","Insessorial","5918314.94"
"555","Parus major","Parus major","18.7","16.25","Woodland","2","1","Omnivore","Invertivore","Insessorial","32577984.28"
"556","Parus minor","Parus minor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"557","Parus montanus","Passer montanus","17.7","11.1","Forest","1","1","Omnivore","Invertivore","Insessorial","22224877.5"
"558","Parus palustris","Parus holsti","17.9","11.14","Forest","1","1","Omnivore","Invertivore","Insessorial","9072135.09"
"559","Passer domesticus","Passer domesticus","27.3","26.51","Human Modified","3","1","Herbivore","Granivore","Terrestrial","34661699.72"
"560","Passer hispaniolensis","Passer hispaniolensis","26","24.2","Shrubland","2","1","Herbivore","Granivore","Terrestrial","4197257.38"
"561","Passer italiae","Passer italiae","26","28.3","Human Modified","3","1","Herbivore","Granivore","Terrestrial","312371.57"
"562","Passer montanus","Passer montanus","24.6","21.39","Woodland","2","1","Omnivore","Granivore","Terrestrial","39069801.39"
"563","Passer rutilans","Passer rutilans","31.5","18.46","Forest","2","1","Herbivore","Granivore","Terrestrial","4611660.97"
"564","Passerculus sandwichensis","Passerculus sandwichensis","24.1","19.97","Grassland","3","3","Omnivore","Omnivore","Generalist","13886974.46"
"565","Passerina caerulea","Passerina caerulea","22.9","27.39","Forest","2","3","Carnivore","Invertivore","Generalist","5300267.2"
"566","Passerina cyanea","Passerina cyanea","22.5","14.69","Shrubland","2","3","Herbivore","Granivore","Terrestrial","5700834.65"
"567","Pastor roseus","Pastor roseus","36.8","72.97","Grassland","3","3","Omnivore","Omnivore","Insessorial","5911355.59"
"568","Pelagodroma marina","Pelagodroma marina","54.1","47.2","Marine","3","3","Carnivore","Aquatic predator","Aerial","104837176.2"
"569","Pelecanus crispus","Pelecanus crispus","43.3","9512.09","Wetland","3","2","Carnivore","Aquatic predator","Aquatic","3326029.46"
"570","Pelecanus onocrotalus","Pelecanus onocrotalus","42.1","9322.31","Wetland","3","2","Carnivore","Aquatic predator","Aquatic","810182.64"
"571","Perdix perdix","Perdix perdix","33.8","405.3","Grassland","3","1","Herbivore","Omnivore","Terrestrial","10032916.79"
"572","Pericrocotus divaricatus","Pericrocotus divaricatus","40.5","24.6","Forest","2","3","Carnivore","Invertivore","Insessorial","947644.87"
"573","Periparus ater","Periparus ater","21.9","9.2","Forest","1","1","Omnivore","Invertivore","Insessorial","18987457.58"
"574","Perisoreus canadensis","Perisoreus canadensis","18.1","71.58","Forest","1","1","Omnivore","Omnivore","Insessorial","7301159.58"
"575","Perisoreus infaustus","Perisoreus infaustus","17.4","84.4","Forest","1","1","Omnivore","Omnivore","Insessorial","11840129.85"
"576","Pernis apivorus","Pernis apivorus","37.9","754.37","Forest","1","3","Carnivore","Invertivore","Insessorial","9317297.54"
"577","Pernis ptilorhynchus","Pernis ptilorhynchus","32","1141.13","Woodland","2","1","Carnivore","Invertivore","Insessorial","11263289.52"
"578","Petrochelidon pyrrhonota","Petrochelidon pyrrhonota","49","21.6","Grassland","3","3","Carnivore","Invertivore","Aerial","11994340.08"
"579","Petronia petronia","Petronia petronia","33.4","30.2","Rock","3","1","Herbivore","Granivore","Terrestrial","7800913.29"
"580","Phalacrocorax auritus","Phalacrocorax auritus","40.8","1806.49","Marine","3","2","Carnivore","Aquatic predator","Aquatic","4311610.21"
"581","Phalacrocorax capillatus","Phalacrocorax capillatus","39","2801.78","Marine","3","1","Carnivore","Aquatic predator","Aquatic","71833.77"
"582","Phalacrocorax carbo","Phalacrocorax carbo","37.1","2528.97","Wetland","3","2","Carnivore","Aquatic predator","Aquatic","24540701.98"
"583","Phalacrocorax pelagicus","Phalacrocorax pelagicus","33.6","1843.95","Marine","3","1","Carnivore","Aquatic predator","Aquatic","1686730.58"
"584","Phalaropus fulicarius","Phalaropus fulicarius","52.8","55.59","Marine","3","3","Carnivore","Aquatic predator","Terrestrial","3783736.3"
"585","Phalaropus lobatus","Phalaropus lobatus","49.6","36.68","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","9098836.74"
"586","Phasianus colchicus","Phasianus colchicus","25.8","1120.31","Human Modified","2","1","Herbivore","Omnivore","Terrestrial","7426719.32"
"587","Pheucticus ludovicianus","Pheucticus ludovicianus","26.5","42","Forest","2","3","Herbivore","Omnivore","Insessorial","3980871.24"
"588","Phoenicopterus roseus","Phoenicopterus roseus","41.6","3031.59","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","5093092.47"
"589","Phoenicurus auroreus","Phoenicurus auroreus","20.5","16.2","Forest","2","3","Omnivore","Invertivore","Insessorial","4822744.76"
"590","Phoenicurus ochruros","Phoenicurus ochruros","23.1","16.5","Rock","3","2","Omnivore","Invertivore","Insessorial","13764225.49"
"591","Phoenicurus phoenicurus","Phoenicurus phoenicurus","25.8","14.59","Woodland","1","3","Carnivore","Invertivore","Insessorial","14485113.51"
"592","Phylloscopus bonelli","Phylloscopus bonelli","23.1","8.69","Forest","2","3","Carnivore","Invertivore","Insessorial","1297862.66"
"593","Phylloscopus borealis","Phylloscopus borealis","25.8","10.89","Forest","1","3","Carnivore","Invertivore","Insessorial","14062772.33"
"594","Phylloscopus borealoides","Phylloscopus borealoides","24","9.8","Forest","2","3","Carnivore","Invertivore","Insessorial","344620.15"
"595","Phylloscopus collybita","Phylloscopus collybita","18.4","8.3","Forest","1","3","Carnivore","Invertivore","Insessorial","16540252.02"
"596","Phylloscopus coronatus","Phylloscopus coronatus","22.6","10.1","Woodland","2","3","Carnivore","Invertivore","Insessorial","2148136.05"
"597","Phylloscopus ibericus","Phylloscopus ibericus","20.4","8.3","Forest","2","3","Carnivore","Invertivore","Insessorial","280602.15"
"598","Phylloscopus ijimae","Phylloscopus ijimae","24","8.7","Forest","2","1","Omnivore","Invertivore","Insessorial","347.89"
"599","Phylloscopus inornatus","Phylloscopus inornatus","19","6.59","Woodland","1","3","Carnivore","Invertivore","Insessorial","10713136.25"
"600","Phylloscopus nitidus","Phylloscopus nitidus","23.4","7.8","Forest","1","3","Carnivore","Invertivore","Insessorial","468375.06"
"601","Phylloscopus orientalis","Phylloscopus orientalis","23.3","8.5","Woodland","2","3","Carnivore","Invertivore","Insessorial","323586.25"
"602","Phylloscopus sibilatrix","Phylloscopus sibillatrix","30.9","9.2","Forest","1","3","Carnivore","Invertivore","Insessorial","6359810.96"
"603","Phylloscopus sindianus","Phylloscopus sindianus","15.9","7.51","Forest","3","3","Carnivore","Invertivore","Insessorial","848350"
"604","Phylloscopus trochiloides","Phylloscopus trochiloides","19.9","8.05","Forest","1","3","Carnivore","Invertivore","Insessorial","13103240.81"
"605","Phylloscopus trochilus","Phylloscopus trochilus","25.9","8.7","Forest","1","3","Carnivore","Invertivore","Insessorial","15839222.41"
"606","Phylloscopus xanthodryas","Phylloscopus xanthodryas","25.8","10.89","Forest","1","3","Carnivore","Invertivore","Insessorial","286897.73"
"607","Pica pica","Pica pica","22.9","217.48","Human Modified","3","1","Omnivore","Omnivore","Terrestrial","32086533.08"
"608","Picoides arcticus","Picoides arcticus","25.2","69.24","Forest","1","1","Carnivore","Invertivore","Insessorial","6771211.08"
"609","Picoides dorsalis","Picoides dorsalis","28","55.05","Forest","1","1","Carnivore","Invertivore","Insessorial","7897211.06"
"610","Picoides pubescens","Dryobates pubescens","27","25.55","Woodland","2","1","Carnivore","Invertivore","Insessorial","12800223.82"
"611","Picoides tridactylus","Picoides tridactylus","29.4","65.49","Forest","1","1","Carnivore","Invertivore","Insessorial","14623044.02"
"612","Picoides villosus","Leuconotopicus villosus","25.3","62.65","Forest","1","1","Carnivore","Invertivore","Insessorial","13332874.44"
"613","Picus awokera","Picus awokera","27.5","143","Forest","2","1","Carnivore","Invertivore","Insessorial","281098.75"
"614","Picus canus","Picus canus","25.8","137","Forest","1","1","Carnivore","Invertivore","Insessorial","17088062.07"
"615","Picus sharpei","Picus sharpei","26.6","176","Forest","2","1","Carnivore","Invertivore","Terrestrial","563992.07"
"616","Picus viridis","Picus viridis","24.7","176","Forest","2","1","Carnivore","Invertivore","Terrestrial","6538180.67"
"617","Pinicola enucleator","Pinicola enucleator","29.4","56.4","Forest","1","2","Herbivore","Omnivore","Insessorial","18396768.3"
"618","Pipilo erythrophthalmus","Pipilo erythrophthalmus","13.6","40.03","Forest","2","2","Herbivore","Omnivore","Generalist","3162018.06"
"619","Piranga olivacea","Piranga olivacea","30.9","28.2","Forest","1","3","Carnivore","Invertivore","Insessorial","2605301.09"
"620","Piranga rubra","Piranga rubra","29.2","29.13","Forest","1","3","Carnivore","Invertivore","Insessorial","3269576.69"
"621","Pitta nympha","Pitta nympha","24.6","88.28","Forest","1","3","Carnivore","Invertivore","Terrestrial","1165759.28"
"622","Platalea leucorodia","Platalea leucorodia","40.4","1868","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","6276598.58"
"623","Plectrophenax nivalis","Plectrophenax nivalis","38.6","42.2","Grassland","3","3","Herbivore","Granivore","Terrestrial","6819849.23"
"624","Plegadis falcinellus","Plegadis falcinellus","38.9","626.61","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","23712479.58"
"625","Pluvialis apricaria","Pluvialis apricaria","57.4","214","Grassland","3","3","Carnivore","Invertivore","Terrestrial","3294836.99"
"626","Pluvialis squatarola","Pluvialis squatarola","60.1","250","Grassland","3","3","Carnivore","Aquatic predator","Terrestrial","3963258.28"
"627","Podiceps auritus","Podiceps auritus","42.2","453","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","16211072.27"
"628","Podiceps cristatus","Podiceps cristatus","42.9","730.96","Wetland","3","1","Carnivore","Aquatic predator","Aquatic","19812770.45"
"629","Podiceps grisegena","Podiceps grisegena","40.9","1023","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","17383433.44"
"630","Podiceps nigricollis","Podiceps nigricollis","44","412.44","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","16435591.3"
"631","Podilymbus podiceps","Podilymbus podiceps","34","411.93","Wetland","3","2","Carnivore","Aquatic predator","Aquatic","21361785.48"
"632","Poecile atricapillus","Poecile atricapillus","18.6","10.8","Forest","1","1","Omnivore","Invertivore","Insessorial","9078514.18"
"633","Poecile cinctus","Poecile cinctus","19.5","11.4","Forest","1","1","Omnivore","Invertivore","Insessorial","10800997.61"
"634","Poecile hudsonicus","Poecile hudsonicus","18.4","9.8","Forest","1","1","Omnivore","Invertivore","Insessorial","7102487.58"
"635","Poecile lugubris","Poecile lugubris","15.3","15.8","Woodland","2","1","Carnivore","Invertivore","Insessorial","1281185.72"
"636","Poecile montanus","Poecile montanus","17.7","11.1","Forest","1","1","Omnivore","Invertivore","Insessorial","21263364.59"
"637","Poecile palustris","Poecile palustris","17.9","11.14","Forest","1","1","Omnivore","Invertivore","Insessorial","9072135.09"
"638","Polioptila caerulea","Polioptila caerulea","19.1","5.8","Woodland","2","3","Carnivore","Invertivore","Insessorial","6582606.18"
"639","Polysticta stelleri","Polysticta stelleri","49.1","806.76","Marine","3","3","Carnivore","Aquatic predator","Aquatic","2209280.29"
"640","Pooecetes gramineus","Pooecetes gramineus","23.9","25.68","Grassland","3","3","Omnivore","Omnivore","Generalist","6371227.47"
"641","Porphyrio porphyrio","Porphyrio porphyrio","30.5","773.88","Wetland","2","1","Herbivore","Herbivore aquatic","Terrestrial","18686249.25"
"642","Porzana carolina","Porzana carolina","33.4","74.8","Wetland","1","3","Omnivore","Omnivore","Terrestrial","9780642.26"
"643","Porzana fusca","Porzana fusca","22.2","57.27","Wetland","2","2","Omnivore","Aquatic predator","Terrestrial","6674711.81"
"644","Porzana parva","Porzana parva","44","49.7","Wetland","1","3","Carnivore","Aquatic predator","Terrestrial","6785055.74"
"645","Porzana porzana","Porzana porzana","34.5","87.1","Wetland","1","3","Omnivore","Aquatic predator","Terrestrial","10691863.17"
"646","Progne subis","Progne subis","52","53.79","Forest","2","1","Carnivore","Invertivore","Aerial","5698973.38"
"647","Protonotaria citrea","Protonotaria citrea","30","14.3","Forest","1","3","Carnivore","Invertivore","Insessorial","2173071.74"
