"","verbatim_name","tp","cell_grouping","Total_area","Total_Ncells","occupancy_Ncells","AOO","relative_occupancy_Ncells","dataset"
"180","Luscinia akahige",2,1,450221.445308138,1098,101,39442.7236524034,0.09,"Birds_atlas_Japan"
"181","Acrocephalus orientalis",1,1,448951.020447356,1095,247,101880.470237054,0.23,"Birds_atlas_Japan"
"182","Periparus ater",1,1,448951.020447356,1095,490,196501.799392087,0.45,"Birds_atlas_Japan"
"183","Hierococcyx hyperythrus",1,1,448951.020447356,1095,145,59192.9091360808,0.13,"Birds_atlas_Japan"
"184","Apus nipalensis",2,1,450221.445308138,1098,11,4697.88011014117,0.01,"Birds_atlas_Japan"
"185","Garrulus glandarius",2,1,450221.445308138,1098,524,216041.436049507,0.48,"Birds_atlas_Japan"
"186","Troglodytes troglodytes",2,1,450221.445308138,1098,392,158934.696428825,0.36,"Birds_atlas_Japan"
"187","Luscinia akahige",1,1,448951.020447356,1095,133,52588.2263242448,0.12,"Birds_atlas_Japan"
"188","Chloris sinica",1,1,448951.020447356,1095,849,346986.241862766,0.78,"Birds_atlas_Japan"
"189","Chloris sinica",2,1,450221.445308138,1098,847,345889.026565165,0.77,"Birds_atlas_Japan"
"190","Corvus corone",2,1,450221.445308138,1098,790,322564.572756783,0.72,"Birds_atlas_Japan"
"191","Aegithalos caudatus",2,1,450221.445308138,1098,480,199884.794160408,0.44,"Birds_atlas_Japan"
"192","Apus pacificus",2,1,450221.445308138,1098,77,30975.8731750888,0.07,"Birds_atlas_Japan"
"193","Phalacrocorax carbo",2,1,450221.445308138,1098,250,104087.182935385,0.23,"Birds_atlas_Japan"
"194","Alauda arvensis",2,1,450221.445308138,1098,361,146023.512731238,0.33,"Birds_atlas_Japan"
"195","Phylloscopus xanthodryas",1,1,448951.020447356,1095,166,67149.9664894588,0.15,"Birds_atlas_Japan"
"196","Himantopus himantopus",2,1,450221.445308138,1098,5,2082.39232670593,0,"Birds_atlas_Japan"
"197","Phylloscopus coronatus",1,1,448951.020447356,1095,456,181082.02527176,0.42,"Birds_atlas_Japan"
"198","Turdus chrysolaus",1,1,448951.020447356,1095,283,109309.870436149,0.26,"Birds_atlas_Japan"
"199","Acrocephalus orientalis",2,1,450221.445308138,1098,249,102186.423042492,0.23,"Birds_atlas_Japan"
"200","Anthus hodgsoni",2,1,450221.445308138,1098,89,34488.6217666173,0.08,"Birds_atlas_Japan"
