"","verbatim_name","dataset","log_R2_1"
"410","Egretta thula","Birds_Atlas_New_York",-0.482835153227352
"411","Egretta tricolor","Birds_Atlas_New_York",0.167076440038417
"412","Elanus caeruleus","Birds_atlas_EBBA",0
"413","Emberiza aureola","Birds_atlas_EBBA",0
"414","Emberiza bruniceps","Birds_atlas_EBBA",0
"415","Emberiza caesia","Birds_atlas_EBBA",0.0100880403817098
"416","Emberiza calandra","Birds_atlas_EBBA",0
"417","Emberiza cia","Birds_atlas_EBBA",0
"418","Emberiza cineracea","Birds_atlas_EBBA",0
"419","Emberiza cioides","Birds_atlas_Japan",-0.0128348079144951
"420","Emberiza cirlus","Birds_atlas_EBBA",0.00111990867598166
"421","Emberiza citrinella","Birds_Atlas_Czechia",0
"422","Emberiza citrinella","Birds_atlas_EBBA",0
"423","Emberiza fucata","Birds_atlas_Japan",0.073811803847782
"424","Emberiza hortulana","Birds_Atlas_Czechia",-0.181442858749047
"425","Emberiza hortulana","Birds_atlas_EBBA",0
"426","Emberiza leucocephalos","Birds_atlas_EBBA",0
"427","Emberiza melanocephala","Birds_atlas_EBBA",0.00362869557864491
"428","Emberiza pallasi","Birds_atlas_EBBA",0
"429","Emberiza pusilla","Birds_atlas_EBBA",0
"430","Emberiza rustica","Birds_atlas_EBBA",-0.0843068368610139
"431","Emberiza schoeniclus","Birds_Atlas_Czechia",0.0792364165573967
