"","verbatim_name","tp","cell_grouping","Total_area","Total_Ncells","occupancy_Ncells","AOO","relative_occupancy_Ncells","scale"
"1056","Parus palustris",3,"2",89635.9803373288,185,173,86733.6091215347,0.94,0.03125
"1057","Circus pygargus",2,"2",83907.5085275841,176,64,31743.4230696551,0.36,0.03125
"1058","Miliaria calandra",2,"2",83907.5085275841,176,125,61616.39914543,0.71,0.03125
"1059","Anser anser",2,"2",83907.5085275841,176,61,31104.9472901491,0.35,0.03125
"1060","Corvus monedula",3,"2",89635.9803373288,185,112,59202.1700183837,0.61,0.03125
"1061","Miliaria calandra",1,"2",83907.5085275841,176,77,38247.0654063497,0.44,0.03125
"1062","Tringa totanus",2,"2",83907.5085275841,176,39,19503.1078037829,0.22,0.03125
"1063","Locustella luscinioides",1,"2",83907.5085275841,176,59,30394.05918452,0.34,0.03125
"1064","Anas crecca",3,"2",89635.9803373288,185,91,48128.4461965293,0.49,0.03125
"1065","Haliaeetus albicilla",2,"2",83907.5085275841,176,55,27658.2633197904,0.31,0.03125
"1066","Sylvia nisoria",2,"2",83907.5085275841,176,101,50902.1499377161,0.57,0.03125
"1067","Botaurus stellaris",2,"2",83907.5085275841,176,47,24330.4226873658,0.27,0.03125
"1068","Bucephala clangula",2,"2",83907.5085275841,176,30,15913.3597965948,0.17,0.03125
"1069","Circus cyaneus",2,"2",83907.5085275841,176,105,54335.1677914101,0.6,0.03125
"1070","Luscinia svecica",1,"2",83907.5085275841,176,35,17159.4886259802,0.2,0.03125
"1071","Milvus milvus",1,"2",83907.5085275841,176,62,30872.6763058981,0.35,0.03125
"1072","Luscinia megarhynchos",2,"2",83907.5085275841,176,123,61456.1592708932,0.7,0.03125
"1073","Athene noctua",2,"2",83907.5085275841,176,99,51075.5743311302,0.56,0.03125
"1074","Riparia riparia",1,"2",83907.5085275841,176,112,56631.1133561161,0.64,0.03125
"1075","Panurus biarmicus",1,"2",83907.5085275841,176,27,13536.6100447672,0.15,0.03125
"1076","Grus grus",1,"2",83907.5085275841,176,5,2508.60883969748,0.03,0.03125
"1077","Ciconia ciconia",2,"2",83907.5085275841,176,154,76325.8428277583,0.88,0.03125
"1078","Tyto alba",2,"2",83907.5085275841,176,106,53838.2746608974,0.6,0.03125
"1079","Asio flammeus",2,"2",83907.5085275841,176,13,6695.26741183698,0.07,0.03125
"1080","Jynx torquilla",3,"2",89635.9803373288,185,167,84612.8291201123,0.9,0.03125
"1081","Ficedula albicollis",2,"2",83907.5085275841,176,131,65281.8559796574,0.74,0.03125
"1082","Columba oenas",1,"2",83907.5085275841,176,145,70851.3074056248,0.82,0.03125
"1083","Egretta alba",2,"2",83907.5085275841,176,34,17449.6190728295,0.19,0.03125
"1084","Tringa ochropus",2,"2",83907.5085275841,176,87,42944.0278759592,0.49,0.03125
